Title,Period,Country,Latitude ,Longitude,World Bank Region,Classification,Description,Works per Country
Woman's Coat,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"coated, paper-like purple cloth, lined in dark blue; sleeves, shoulders, front opening and collar decorated with embroidered bands including flowers, geometric designs, birds, dragons, fish and fanciful animals in bright red, blue, purple, white and yellow; band at front and band at neck of geometric applique",1350
Pair of Shoes,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,bootie-like shoes with white soles; navy blue ankles with light blue trim; body of shoe black embroidered overall with multicolored flowers; sewn together at collar,1350
Scarf,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"cream ground with overall cross-stitched design in dark green and blue; birds, flowers and geometric designs",1350
Pair of Shoes,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"pointed toes; layered soles; bootie style; strips around collar in blue, green, black, fuscha and yellow, with banding, cross-stitch embroidery and applique; geometricized flower band around foot, embroidered on green ground",1350
Under Apron,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"black damask, bell shaped; 7-1/2"" embroidered and appliqued small bell at top with dragons, flowers and phoenix; narrow ribbons outlining top and sides and 5 scalloped appliques across bottom; lined in blue; button loop at top; loops on each side; black, blue, green, pink and purple",1350
Pair of Leggings,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"indigo blue with red embroidery in 1/2"" alternating, checkerboard design; line of simple flowers along one long edge; hand hemmed along same long edge",1350
Apron,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"black and blue brocade silk with red border on coarse weave backing; flat embroidery of birds, butterflies and flowers in green, dark pink and yellow; edges highlighted in narrow gold braid",1350
"Sashes, from a two-piece set",Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,center red strip with cross stitch alternating with raised metal flowers; bottom border has small metal ornaments on black applique; cotton ties,1350
"Apron, from a three-piece set",Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"band has 4 cross stitched geometric designs bordered by pink on 3 sides and plaid gingham; black velveteen pleated skirt is banded on sides with red, white and green embroidery on yellow; bottom has embroidery bordered in green and red damask; tan ties have cross stitch desgin with crude yellow and red ""flowers""",1350
Apron,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,bib and waist band totally embroidered in abstract floral design; bib in light green with pink; waist band in orange and red; skirt part shirred green with black; skirt bound on sides with flower embroidered on purple tape; patched-up neck loop; woven tied with tassels; apron bib lined in batik; blue and printed fabric,1350
Apron,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"bib apron with pink, green floral embroidered top on pink ground, and a band of multicolored embroidery of birds and flowers on teal ground; skirt portion is black with 4"" of orange on top, pleated or gathered; edged in 2-1/4"" wide green band with red, purple, white satin stitch floral design; fringed ties of white cotton with some embroidery near ends; woven braid at neck; bodice lined in batik and green print",1350
Child's Hat,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"blue, purple, green, pink; covers neck and ears with flaps; three dimensional; wired, stiff flower petals on purple, tan, orange and blue; gold fringe in center; top has fringed butterfly with metal springs; blue background edged in pink braid; mauve plaid lining; PR knotted ball button; silver paper edges",1350
(Wedding?) Collar,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"black, pink, green; edged with flat metallic strips; embroidered cutouts of flowers and petals joined together with thread; white teal and green beads; cutouts hang from scalloped, embroidered black yoke; finished with glued braid at neck edge; knot button and loop at back; collar forms circle when fastened",1350
Child's Collar,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"five petaled collar outlined in black; embroidered with animals and flowers on black, green, red, pink and purple silk pieces",1350
Belt,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"white cotton; embroidered ends 16"" long with 4 1/2"" gold fringe; embroidered sectoins have 2 black strips separating birds and flowers embroidered on applique; red, blue, green, pink",1350
Purse,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"blue and red; blue border with white square design and butterflies surround red rectangle embroidered with bird, flowers, leaves and interior braid; one outside pocket; interior solid red with one inside pocket; machine and hand stitched; single fold; shiny red interior",1350
Collar,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"couched threads on blue silk-covered paper; wide brown outer border patterned by couching threads; narrow inner border couched by gold threads, sequins and 18 round mirrored buttons; floral and scroll motifs with sequins in flower centers; wide center section with primarily gold threads forming celestial landscape, two large phoenixes and many other symbols",1350
Child's Tiger Hat,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,orange tiger's face at top and front with purple ears; small tiger's tail on back at top; black around sides and back with flowers; blue and white tail with pink lotus blossom and gold floral designs,1350
Child's tiger hat,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,black with light blue lining; purple ears; purple nose; sides and back embroidered with flowers,1350
Pair of woman's shoes for bound feet,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,small slippers with detachable cylindrical heel platforms; black with flowers embroidered on pink trim; blue interiors; white soles; sole on platform sewn with flower blossom,1350
Lamaist ritual diadem,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"5 plaques, each with a central symbol in yellow surrounded by 9 auspicious symbols and a kirttimukha mask against a flowering vine ground; leather ties",1350
Baby's hat,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"in the form of an abstract fish with back fins, floral eyes, white scales and flower forms on tailfins; black ground; white embroidered floral band around forehead",1350
Woman's hat,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"pointed in front; arcing ""tails""; black ground embroidered in multicolors with large flower form on front, flanked by predominately pink birds and dragons; concentric circle design on crown; flowers and birds on back; pink pompon on back, top; long black tassel on each side with three beads at top of each; pink and white printed lining",1350
Pair of shoes for bound feet,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"two-part slippers; inner slippers of black silk with pink flowers on toes, blue and gold rickrack and red heel trim; outer heel cup of red silk with purple trim and embroidered fish (or insects?) on each side",1350
Garment front (?),Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,embroidered in pink with birds and flowers,1350
Garment front (?),Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,embroidered in pink with flowers; beads,1350
Sash,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,blue backing; print black fabric with red and tan flowers; cross stitch,1350
Apron,Date Unknown,China,35.86166,104.195397,East Asia and Pacific,Accessories,"maroon with orange, green, blue, white flower-like forms and birds",1350
Festival apron,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"no ties; dark blue waistband and side panels; central panel has diamond, star and flower motif embroidery in tan, black, green and lavender on cream with horizontal geometric and geometricized floral bands at bottom; knotted short tan fringe at bottom of embroidered panel",1350
Headdress,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,two sections; shorter section backed with blue fabric is pieced with central pastel striped fabric bordered by white fabric printed with tiny pink and yellow flowers and embroidered bands and red floral printed fabric; longer section backed with grey and pastel woven fabrics has three brocade bands (one with metallic silver threads) and six embroidered cross stitched rectangles in predominately pinks and purples; red and white tassels with beads at one short end,1350
Headband,20th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"black backing and ties; band of repeating birds and butterflies on flowering branches in tan, khaki, light brown, pale pink, green, purple and red-orange on black",1350
Hat,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"blue silk base embroidered with floral designs in multicolors; pink silk interior; nine metal figures attached to front, with dark and gold patina; four long red silk tassels; large top metal ornament with relief figures and flowers; three-dimensional metal ornament on back with dragons, flames, large red pompon and other ornaments attached with springs and dangles at bottom; metal ornament with pair of figures with four dangles with pendants; one dangle with pendant attached at back with safety pin",1350
Fan,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"folding fan with ivory monture; paper leaf with painted motif of red flowers and blue rock on one side, figures at two tables dining outdoors on opposite side; guards carved with foliage and birds at top and pavilions with figures and foliage at bottom",1350
Fan,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"folding fan of ivory with cream colored ribbon at top of ribs; lacy openwork design; central cartouche with monogram (MK?); carved with various Chinese figures, foliage, and pavilions; animals and flowers on top",1350
Fan case,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"blue silk on front, yellow silk on back and top flap; embroidered with metallic gold threads in scrolling flower and foliage patterns; edged in blue and white patterned silk; green top cord",1350
Fan case,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"light blue silk on front, black silk on back; embroidered with metallic silver threads in organic flower, fruit, and foliage design, with scroll at top on each side; edged in blue and white patterned silk; cream-colored cord with two decorative knots",1350
Fan case,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"blue silk on one side, black silk on other side; trimmed in pink edging on one side and pink and blue edging on other side, with scallops; embroidered with scrolling foliage and flowers in predominately green and pink; orange cord",1350
Fan case,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,white silk on front embroidered with magenta foliage and flowers and gold scroll at top with red dot; orange silk on back,1350
Fan case,19th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,pink on front with background Grecian key design and embroidered with pink flowers on green stem; pale green on back; cream colored cord,1350
Silk seal (ito-in) in form of a monster,18th Century,China,35.86166,104.195397,East Asia and Pacific,Accessories,"bottom in the form of a bell or upside-down flower with a demon-form head, resembling a werewolf; incised holes in two rows at bottom (large and small)",1350
(Smoking Set),19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"Set consisting of pipe, pipe-case, tobacco-pouch and attached carved ivory netsuke. Pipe, polished reed with silver ends, decorated with various sea animals in relief. L.7-3/4 in.; Pouch opium-pouch of wood, carved to resemble leather and decorated with a landscape. Lined with cloth; contains some opium; tan silk cord. L.3-1/2 x W.2-5/8 x D.1-3/4 in.; Pipe case woven reed, like cane or bamboo, decorated with quill pen and flower in black and gold. L8-1/4 x W.1-1/8 x D.5/8 in.; Netsuke carved ivory monkey; long roll in one paw, other held up.",1374
Single-case inro containing Buddhist votive figure,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"Lacquered shagreen inrō, decorated on one side with two large gold-stemmed lotus flowers, containing a small inner lacquered box decorated with narrow lines of gold enamel. The inner box opens in two halves to reveal a small figure of standing Buddha carved from pale-colored wood and decorated with gold on crown, robe and stand. The shagreen case, of which the two halves are strung together on a small cord that permits cover to be slipped on an off bottom section, wrapped in a scarf on cream silk printed with writhing dragons.",1374
Pipe with design of autumn flowers,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"pipe in 3 pieces; soft metal with gold applique mouthpiece and bowl, bamboo stem",1374
Flowers,20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,,1374
Artist Painting a Potted Flowering Tree,20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,,1374
"Triangular Prism, Three Flowers on Sides",20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,,1374
Netsuke [Hollow Flower],20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,,1374
"Netsuke [Lady with Long Hair, Carrying a Flower]",20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,,1374
Netsuke [Flower],20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,hollow center,1374
Flower Basket,20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,,1374
"Manju [landscape, bridge and hut]",19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"square in shape, with squared-off corners; top is decorated with an openwork metal flower around post hole; bottom on exterior decorated with landscape with bridge in front and cottage in distance; interior of lower section decorated with engraved flowers, geometric design at center and cloud shapes",1374
Wisteria Maiden,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,shallow carving of young woman holding a flowering branch over her proper left shoulder and wearing a curved flat-topped hat,1374
Netsuke (manju),20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"two-part manju; outer circle incised and colored, inner with animal and flower",1374
Five-case inro with decor of bushclover and butterflies; ojime with floral design; netsuke of autumn grasses,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"five-case inrō; gold fundame with butterflies near bush, clover beside rocky rivulet; cloisonne enamel ojime; ivory manju netsuke painted gold with flowering shrubs in hiramakie; attached with brown braided silk rope through inrō, ties at bottom",1374
Four-case inro with decor of Chinese lions catching peonies; netsuke of herb gatherer,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"four-case inrō; fundame decorated in hiramaki-e with leaping karashishi holding peony flower in mouth; reverse with another shishi on gold ground; glass bead ojime; ivory netsuke of herb gatherer drowsing beside basket with flowers and sickle; attached with brown, braided, silk cord through inro and ties at bottom",1374
Three-case inro with birds on tree,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"three-case inrō; gold and red takamaki-e and hiramaki-e inlay in Shibayama style; mother-of-pearl inlay; two rectangular panels; on one side is scene of man eating, another man pouring tea; turtle in foreground; flowering plant behind; on reverse side is scene of 2 birds in flowering tree; borders of flowerheads and scrolling foliage; ivory manju netsuke; painted with gold bird; mother-of-pearl floral border; flower centered on bottom; netsuke on gold cord; ivory bead ojime; peacock painted in gold with mother-of-pearl inlay; attached with braided cord",1374
"Four-case inro showing two birds seated on branch of tree, two birds above flowering azalea",19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,five-parts; silver lacquer background; two birds on each side perched on craggy cherry tree; a few gold highlights on flowers; brown cord,1374
Five-case inro showing flowering cherry branches seen through a bamboo blind,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"six parts; decorated with a bamboo blind in front of a plum tree in gold, black, red and silver lacquer on a black lacquer ground",1374
Oval four-case inro showing scattered panels with flowers of the seasons,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,five parts; designed with floral roundels in gold and applied gold flecks on a dundame ground,1374
Flower head,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,oval form with incised and inlaid designs mimicking sunflower head,1374
Four-case inro showing flowering clover plant,18th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,five parts; brown background with gold flecks; oval-shaped bush clover foliage; red flowers near bottom and center on opposite side,1374
"Four-case inro showing two birds seated on branch of tree, two birds above flowering azalea",19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,five-parts; silver lacquer background; two birds on each side perched on craggy cherry tree; a few gold highlights on flowers; brown cord,1374
Flower head,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,oval form with incised and inlaid designs mimicking sunflower head,1374
Four-case inro showing flowering clover plant,18th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,five parts; brown background with gold flecks; oval-shaped bush clover foliage; red flowers near bottom and center on opposite side,1374
Black Netsuke with Flowers,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,round two-piece netsuke; black lacquer with gold flecks; grasses and delicate mother of pearl flowers,1374
Comb,19th - 20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"silver comb with black teeth, delicate leafy vine with flower motif",1374
Turtle on lotus leaves,18th - 19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"turtle climbing over a cluster of lotus leaves and flowers; smooth underside with carved, stylized characters",1374
Black Netsuke with Flowers,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,round two-piece netsuke; black lacquer with gold flecks; grasses and delicate mother of pearl flowers,1374
Octagonal pipe case depicting flower and butterfly,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,dark brown; small silver and gold butterfly; silver and gold flower with red and brown leaves; blue silk bag included,1374
Octagonal pipe case depicting flower and butterfly,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,dark brown; small silver and gold butterfly; silver and gold flower with red and brown leaves; blue silk bag included,1374
Bamboo ribs imitating pipe case with flower decor,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"carved to give the appearance of vertical strips of bamboo lashed together with two carved cords; brown blossom beneath lower cord with one green leaf, one brown leaf, and one silver leaf",1374
Tobacco box with chestnut and leaves and ojime with flowers and leaves,20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"brown box with rounded corners, slightly tapering at top; image of broken-open chestnut on a branch with green and gold leaf; dark purple silk cord; ojime has flowers and leaves with spotted ground",1374
Manju netsuke decorated with plum blossoms motif,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,lozenge shaped; plum branches carved in relief on top with two flowers and two buds of inlaid mother-of-pearl; two hand-written characters at interior bottom that don't look like a signature,1374
Pipe case with iris motif,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,medium wood tone; delicate inlaid iris flower with ivory blossom; gold and red inscription on back,1374
"Bamboo pipe case, leather tobacco pouch, and ojime incised with Fukurokuji",19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,golden brown pipe case decorated with closely-spaced black chrysanthemum flowers; rectangular bone ojime with incised portrait of a man with an elongated head on one side and text on opposite side; figure carrying a branch with a scroll at front of clasp on tobacco pouch; brown leather pouch with organic patterns in copper and silver; inside of clasp has an image of a stag with a copper-inlaid tree; brown silk cord,1374
"Pipe case with cherry branch, striped tobacco pouch, and red coral ojime",19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"brown pipe case with long cherry branch with inlaid flowers and blossoms; grey, brown, and gold striped tobacco pouch with gold clasp with blossoming trees; plate on inside of flap has incised building and garden; red coral round ojime",1374
Tobacco box with chestnut and leaves and ojime with flowers and leaves,20th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"brown box with rounded corners, slightly tapering at top; image of broken-open chestnut on a branch with green and gold leaf; dark purple silk cord; ojime has flowers and leaves with spotted ground",1374
Four-case inro with decor of horses in silver and gold; pink coral ojime,19th Century,Japan,36.204824,138.252924,East Asia and Pacific,Accessories,"brown box with rounded corners, slightly tapering at top; image of broken-open chestnut on a branch with green and gold leaf; dark purple silk cord; ojime has flowers and leaves with spotted ground",1374
Fan,19th Century,Netherlands,52.132633,5.291266,Europe and Central Asia,Accessories,Brise with sticks of thin bone pierced in funning leaf patterns and painted with sprays of flowers.,72
"Packaged Pair of Barrettes, from Trinket Carro/Chuchería Cart",Date Unknown,Null,,,Null,Accessories,pair of white lace and ribbon barrettes with ribbon bows with plastic flowers in center; yellow sticker at top of package,
Hat (fez),Date Unknown,Sierra Leone,8.460555,-11.779889,Sub-Saharan Africa,Accessories,ovoid shaped with flat top; chain extending from top center with tassel made of many hanging chains; central top high relief design of flower surrounded by five-pointed stars; sides decorated with relief designs of regularly-spaced leaves extending off flat horizontal vines,4
Bandolier Bag,20th Century,United States,37.09024,-95.712891,North America,Accessories,"straps: all over applique beadwork in floral motif on crystal ground; beaded on muslin. Bag: upper panel of applique beadwork flowers on black velvet; center panel of loomed beadwork in floral pattern on a white ground; ""memory tabs"" at bottom of bag with wool yarn tassels",1029
Child's Moccasins,19th Century,United States,37.09024,-95.712891,North America,Accessories,"Both moccasins are trimmed in fur with one flower beaded in white, red, and yellow over green felt",1029
Necklace,20th Century,United States,37.09024,-95.712891,North America,Accessories,"black crocheted chevron-shaped front element with tapering crocheted neck band, with loop and square button closure; chevron decorated with various buttons--clear round, blue and purple squares, pink domed basket-weave--loops of iridescent black wire in flower shapes, shield with stripes and stars at front center, and iridescent wing form ornaments at edges; rust colored backing fabric",1029
"Hairpin, one of a pair",18th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"one of a pair of hair ornaments, dragonfly (symbol of Summer), .1 has lotus flower, filigree, all stones lost; gold.",1350
"Hair Ornament, one of a pair",11th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,five pointed leaf motif with six leaved flower (in plain and twisted wire) within it; a multiple leaved blossom at center; pin extends down from center,1350
Hairpin or ornament,7th - 10th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"hairpin or ornament, flower (Peony?), petal settings, turquoise, center, shell, repousse, soldered bezels, granulation; gold.",1350
Hairpin or ornament,7th - 10th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"hairpin or ornament, flower (peony?), turquoise setting in petals, center slag (bauronite?), mother-of-pearl in petals, repousse technique with soldered bezels; gold.",1350
"Ornament, one of a pair",17th - 19th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"one of a pair of ornaments, cranes or storks in flight (longevity), with flower; filigree gold, hollow, repousse, wire work.",1350
"Ornament, one of a pair",17th - 19th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"one of a pair of ornaments, cranes or storks in flight (longevity), with flower; filigree gold, hollow, repousse, wire work.",1350
"Ornament, one of a pair",17th - 19th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"ornament, one of a pair; flower vases and butterfly (long life and happiness); filigree gold.",1350
Ornament one of a pair,17th - 19th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"ornament, one of a pair; flower vases and butterfly (long life and happiness); filigree gold.",1350
"Comb Ornament, one of a pair",7th - 10th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"comb ornament, flowers, lotus, two buds and one blossom, both sides identical; gold with turquoise inlay, green patina",1350
"Comb Ornament, one of a pair",7th - 10th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"comb ornament, flowers, lotus, two buds and one blossom, both sides identical; gold with turquoise inlay, green patina",1350
Hair Ornament,17th - 19th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"hair ornament, floral motif, five-petaled flowers surrounded by leaves; gold.",1350
Hair Ornament,7th - 10th Century,China,35.86166,104.195397,East Asia and Pacific,Adornment,"hair ornament, flower on top, double-pronged, all stones missing; gold, with granulation, repousse, wire work, patina on pin",1350
