Title,Country of Creation,Description,Type of Artwork
Flower Study of a Pansy,"Russia, St. Petersburg","DescriptionThis flower study depicts a pansy in bloom. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Violet,"Russia, St. Petersburg","DescriptionThis flower study depicts a single stem of violet. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Small and delicate, Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of Forget-Me-Nots,"Russia, St. Petersburg","DescriptionThese delicate flowers, resembling a bouquet of forget-me-nots, are composed of finely rounded turquoise stones set around rose-cut diamonds on silver-gilt stems placed in rock crystal pots. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Flower Study of a Lowbush Cranberry or Lingonberry,"Russia, St. Petersburg","DescriptionThis flower study depicts a lowbush cranberry or lingonberry. To achieve a naturalistic effect of ripening fruit, Fabergé varied the coloring of the berries. Some are made of chalcedony in hues of milky white to represent unripe berries, while others appear in deep reddish agate to represent ripe ones. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana. Fabergé’s flower studies were given as intimate gifts to friends by the tsarina and others in the court. She also liked to take them around to wherever the imperial family was residing as a reminder of spring during the harsh Russian winters.",Type of artwork: Miscellaneous
Mirror with Six Circular Flowers,,"DescriptionAround the mirror’s central knob, there are six floral designs set within circles, separated by candelabra-like dividers. These flower designs later became known as ""baoxiang hua 寶相花"" or ""flowers of precious appearance"", which often remind people of Buddhist connections. The design also includes a ribbon of inscription, praising the mirror’s clarity and celebrating the end of a war.",Type of artwork: Metalwork
Flower Study of a Miniature Lily of the Valley,"Russia, St. Petersburg","DescriptionA small, carved rock crystal vase holds this lily of the valley study. The pearls, forming the flower’s buds, are drilled and attached to the remarkably slim gold stem. The hand-cut nephrite (jade) leaves enhance the naturalistic aura of the flower. Fabergé’s inspiration for his flower studies is said to have come from the floral brooches of precious stones that were made in the 1700s for Catherine the Great as well as from the Japanese art of flower arranging, known as ikebana.",Type of artwork: Miscellaneous
Still Life: Bouquet of Flowers Emerging from the Grass,,"DescriptionStudies of flower arrangements in the European manner became a popular subject in Indian miniature painting during the reign of Mughal emperor Jahangir (reigned 1605–27). Inspired by imported prints, Indian artists rendered them in Mughal fashion. Here, in a painting made at a Rajasthani court, the entire bouquet grows magically out of the ground from a single stem.",Type of artwork: Painting
Vase with flower arrangement and scrollwork,,"DescriptionThe symmetry of the floral arrangement emerging from the blue-and-white porcelain vase reveals an idealized vision. The overflowing vase is among the most ancient motifs in Indian art, used to convey the concept of abundance. This image, made for an elite patron of northern India, implies the prosperity that has accrued from international connections. The vase, painted with a European-style landscape, is of the type that was made in China for export to Europe. The scrolling ornament on either side may be ultimately derived from Persian motifs, but reworked into a European style, painted by Indian artists.",Type of artwork: Painting
Canopy with Dragon among Flowers,,"DescriptionThe tapestry sewn into the center of this canopy depicts dragons among flowers, a classic design in Chinese art. Its weavers paid attention to fine details, such as the color gradation of the dragon’s scales, or subtle color changes in the flower petals and leaves. The selection of colored silk threads is soft in tone but rich in variety. All these stylistic characteristics indicate that this tapestry was woven in an imperial Southern Song workshop in the capital of Hangzhou, a center of textile production in the Jiangnan region.",Type of artwork: Textile
Royal Woman Holding a Flower,,"DescriptionFollowing the model of formal imperial Mughal court portraiture, the artist has lavished care on shading the face of a royal woman and the distinctive qualities of her luxurious textiles. Details have been exquisitely rendered, including the fringe of her pink shawl with its lotus vine border and the sprigs of flowers tucked in her hair.",Type of artwork: Painting
Square Jar with Birds and Flowers,,"DescriptionThis lidded square jar was likely paired with a complementary yet nonidentical mate. The pine tree, plum, and bamboo together form the frequently depicted motif known as the Three Friends of Winter (shōchikubai), so named because of their hardy perseverance in the cold. Each side also features a pair of birds, including cranes on one face and pheasants on another.",Type of artwork: Ceramic
Birds and Flowers,,"DescriptionThe image depicted on this folding screen is not executed in ink, but rather a method called “pyrography"" or ""nakhwa,” a technique of burning the surface of materials ranging from wood to paper with the delicately controlled application of a heated metal tool. This technique became widely popular in the 19th century. Scorched marks here replace brush strokes. Nakhwa method is now designated as a Korean Intangible Cultural Asset by the Korean government.",Type of artwork: Painting
Dishes with Flowers,"Japan, Taishō period (1912-26) or Shōwa period",DescriptionSeifū Yohei IV’s dishes with flowers feature underglaze yellow.,Type of artwork: Ceramic
Flowers and Grasses,"Japan, Edo period","DescriptionKitagawa Sōsetsu painted for the Maeda family, powerful rulers of what is present-day Ishikawa Prefecture on the central northern coast of Honshū, Japan’s main island. Screens served as room dividers and backdrops in Maeda grand residences. This composition is considered one of the artist’s masterpieces. Kitagawa Sōsetsu is thought to have been a student of Tawaraya Sōsetsu, who was in turn the student of Tawaraya Sōtatsu the Kyoto-based master painter regarded as the creator of the style that came to be known as Rinpa. By selecting a painter of this lineage, the Maeda family consciously connected their aesthetics to those of the imperial capital as a means of proclaiming their elevated status.",Type of artwork: Painting
"Flowers of Four Seasons, with Poems","China, Ming dynasty","DescriptionIn this painting, flowers are loosely arranged by the seasons: narcissus and peony represent early spring; yellow loquat and lotus, summer; chrysanthemum, autumn; and the plum and evergreen bamboo, winter. The artist added to each flower a poetic line of calligraphy associating each plant with a historic or legendary figure. For example, the chrysanthemum, along with the line “The untrammeled joy at the eastern fence,” refers to the poet Tao Yuanming (died AD 427) who enjoyed chrysanthemums at the eastern fence in his garden. The scroll illustrates Wang Guxiang’s mastery of free brushwork, combining light monochrome ink with transparent colors. In his inscription, Wang says he used the “boneless” style without outlines as developed during the Yuan dynasty (1279–1368). Wang was a native of Changzhou, a city in southeast China known for its rich flora and fauna, and flower-and-bird painting tradition.",Type of artwork: Painting
"Festival of Flowers, Nice (Fête des fleurs)","France, 20th century","DescriptionWhile living in Nice after World War I, Matisse adopted a more relaxed style saturated with the warm colors of the Mediterranean. This painting depicts the view from the balcony of Matisse's room at the Hôtel de la Meditérranée overlooking the Promenade des Anglais in Nice. Pictured on the balcony are Matisse's daughter, Marguerite, and his model, Henriette, poised to toss their flowers to the participants in the parade below.",Type of artwork: Painting
Persian Flowers,"France, 18th century","DescriptionJean Baptiste Pillement was one of the most influential designers of the Rococo period, known for his varied and prolific chinoiseries (European variants of Chinese and Japanese motifs). His designs were spread throughout Europe primarily via their translation into prints. This print is one of a set of six etched by Pillement himself. Each depicts a so-called “Persian” flower, largely fantasies, presenting strange, alienlike floral forms that could be adapted to various uses from textiles to wall decorations.",Type of artwork: Print
Flower Market,"Mexico, 20th century","DescriptionFollowing the Mexican Revolution, artists throughout the country began to create works that celebrated the country's history and future. In this print, Diego Rivera shows a gathering of figures in indigenous costume gathering to exchange flowers, suggesting Mexico's bounty. Such images formed an important statement about national identity at a time of constant change.",Type of artwork: Print
A Woman Putting Flowers in Her Hair,"Italy, 18th century","DescriptionScholars generally agree that Rosalba Carriera (1675-1757) developed the art of painting miniatures on ivory, in place of the traditional support of vellum, a fine animal skin. Although she became famous as a pastel painter, in her early career, Carriera decorated ivory snuff boxes-containers used to hold powdered tobacco taken by sniffing up the nostrils-for tourists. This miniature likely served as a lid to a snuff box, due to its elliptical shape in contrast to the oval or occasionally round shapes of most other miniatures. Although painters of ivory snuff boxes used watercolor, the same media artists used on vellum, the finished images on ivory were crude in comparison to those painted on vellum because ivory presents a greasy, non-absorbent surface, causing watercolor to run. Carriera revolutionized the art of watercolor painting on ivory through a process she termed her fondelli, or foundation. She developed a way in which to work in watercolor on ivory that emulated the soft powdery sophistication of her pastels. She used opaque gouache, essentially watercolor paint mixed with a gummy white, a combination of media which adhered to the oily surface of ivory. News of Carriera's innovation spread through Europe, and in the first few decades of the 1700s, most miniaturists abandoned vellum in favor of ivory.",Type of artwork: Portrait Miniature
Gilded Dish with Flowers and Leaves,,"DescriptionThis floral design highlights the rich red, the most difficult to achieve in ceramics, that was developed by Turkish potters. The design is divided with a central swaying saz leaf, with red roses, blue hyacinths, and other floral elements enhanced with glittering gold, a feature that rarely survives. The rim displays a simplified “rock and wave” design adopted from Chinese ceramics which were abundant in the imperial Topkapi Palace in Istanbul",Type of artwork: Ceramic
Vase with Chi-Dragon Handles and Flowers and Birds,,"DescriptionThis four-sided vase with ovoid body, spreading foot, and short neck is decorated with birds, trees, and flowers in various enamels. The two dragon handles are decorated with floral designs in gold on a rouge-de-fer ground.",Type of artwork: Ceramic
Child Carrying Fruit and Flowers,"France, 18th century","DescriptionFrench sculptor Claude Michel, called Clodion, frequently depicts children in his sculpture, in this case a convincing toddler, from her pout to her plump toes. The piece is constructed in terracotta, a common medium for Clodion. After firing, the unglazed color of the clay can vary widely; each of Clodion's statues has a slightly different hue. The figure has sustained a number of damages, but has recently been cleaned and repaired.",Type of artwork: Sculpture
Flowers in a Vase,Netherlands,"DescriptionWith just a few flowers, Verelst created a composition of great sophistication and balance. A simple glass flask is filled with a large rose, a red anemone, and a white narcissus tinged with pink. These flowers are surrounded by a scattering of smaller blossoms. Like many still-life painters, Verelst depicted a window reflected in the glass vase, but here he did not show the window's precise structure. He did, however, use another common device: the depiction of a few chips in the stone surface to make the material seem more tangible. Early in his career, Verelst moved from Holland to London, where he worked for the court of King James II and was extravagantly praised for the realism of his flower paintings.",Type of artwork: Painting
Covent Garden Flower Women,"England, 19th century","DescriptionThomson’s collaborator, reporter Adolphe Smith said that “The familiar sight of a poor woman holding a pale child in her arms and offering modest violets to the pedestrian, is pregnant with a poetry which rags, and dirt fail to obliterate.” The jobs, which were passed down between generations, required worked long hours and yielded a meager income.",Type of artwork: Photograph
"The Marsh Flower, a Sad Human Head","France, 19th century","DescriptionThis series is one of many that Odilon Redon created throughout his career. Nearly two-thirds of his lithographs took the form of portfolios—prints connected conceptually by a theme or narrative and physically by a folder or binding. Such works were often dispersed over time, but Cleveland was fortunate to acquire several complete sets with their original covers during the 1920s. Dating from Redon’s early experimentation with lithography, Homage to Goya was intended as a tribute to 18th-century Spanish master Francisco de Goya, whose interest in dreams and the subconscious influenced Redon. The six seemingly unrelated images celebrate Goya’s ambiguity and collectively suggest the introspection and isolation of artistic practice.",Type of artwork: Print
Flower Stand (Jardinière),"France, early 19th Century","DescriptionThomire was the most productive and famous bronze caster in Paris around 1800. The border of this flower stand was cast from the same molds used for a centerpiece signed by Thomire; therefore, the stand can safely be presumed to have been produced by Thomire as well.",Type of artwork: Furniture and woodwork
Flowers and Trees of the Four Seasons,"Japan, Edo period","DescriptionThe painter Watanabe Shikō had a special interest in scientific realism, based on interactions with his patron Konoe Iehiro. Shikō combined his attention to accurate depiction of plants with strong ink outlines and decorative elements like gold and silver, arriving at an innovative style that influenced many of his peers in the city of Kyoto.",Type of artwork: Painting
Flower-shaped Mirror,,"DescriptionFrom ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs.",Type of artwork: Metalwork
Plate with Bird and Flower,,"DescriptionThis dish is a sophisticated example of later ceramists reinterpreting earlier styles of Japanese porcelain. The colors and patterns used look similar to some works produced on the island of Kyushu in the1600s and 1700s. However, the idea to combine alternating blocks of yellow, green, purple, and blue with a ""Chinese grasses"" (karakusa) pattern around the rim of the dish is one hit upon in the early 1900s by an artist familiar with the colors and patterns of earlier works.",Type of artwork: Ceramic
Flower Vase with Chrysanthemums,"Japan, Meiji period","DescriptionSeifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha.",Type of artwork: Ceramic
Flowers and Vegetables,"America, 19th century","DescriptionThis lithograph served as an advertisement for the seeds sold at James Vick in Rochester, New York, a leading American nursery center in the latter half of the 19th century. An auxiliary business, the production of fruit and flower prints aided nurserymen and their travelling salesmen. At first the lithographs were hand colored, but in 1871 a local company began to print in color. Lithographs are made by drawing a design onto a stone with a greasy crayon; water adheres to the bare stone while the printing ink sticks to the greasy areas. The process was invented at the end of the 18th century and was often used after about 1820 because it is a speedy and inexpensive medium, producing more impressions compared to other tonal techniques such as mezzotint, aquatint, and stipple.",Type of artwork: Print
Container for Flowers,"Japan, Shōwa period","DescriptionThis flattened hexagonal flower vase showcases the brilliant coloration that can be achieved through wood firing: scorching produced the flash of orange on the surface. Although this piece is a traditional form for holding flowers, Kohyama has also produced more sculptural works that are intended for the same purpose.",Type of artwork: Ceramic
Seated Male Carrying Maize,,"DescriptionThis figure probably represents an Aztec deity-either Macuilxochitl or Xochipilli-whose domain was beauty, the arts, and such pleasures as gameplaying, dancing, and sex. Both names include the Aztec word for ""flower,"" and in one hand the figure holds a cone of flowers, perhaps the blossoming crown of a cactus. For the Aztecs, flowers signified beauty, refinement, and fertility in general and sexuality in particular. The burden of maize cobs on his back also may allude to his creative energies.",Type of artwork: Sculpture
Peppi's Flowers,"America, 20th century","DescriptionCalled Peppi as a child, Joanne Segal Brandford created this ethereal work, influenced by such historic textiles as knotless netted bags of South America and European needle laces. In her words, ""as I became aware of the variety and strength of traditional netting throughout the world, I felt encouraged to continue and expand my own explorations. . . . Recently I have explored ideas of openess/closedness and of spatial ambiguity. Illusion, especially the question of shadow and substance (real/not real), has been of particular interest."" Having taken Dr. Sherman Lee’s first year-long course of Far Eastern art, the donor of Peppi’s Flowers admires this museum, where Peruvian textiles can be displayed along with contemporary fiber art.",Type of artwork: Textile
"Fluted Bowl with Dragon, Butterfly, and Flowers",,"DescriptionA dragon encircled by sprays of flowers and a butterfly enliven the interior of this fluted bowl. The exterior has similar decoration, with touches of gold on some petals. The flutes enhance both the visual and tactile experience; their tapered forms draw the eye from the edges inward and provide ridges for the hands.",Type of artwork: Ceramic
Flower Shade,"Japan, Shōwa period","DescriptionThe calligraphy of poems still inspires many contemporary artists. Here, Ninomiya Hakuryu expressed his sensitive playfulness by writing the title of this work, Flower Shade, on a fan turned at a 90-degree angle and a haiku on the fan-shaped paper below.",Type of artwork: Calligraphy
"Panel with Birds, Flowers, and Suns",,"DescriptionThe repeated sun and cross motifs, representing Christ and the Crucifixion, suggest this lace panel may have been used to ornament a Christian vestment, perhaps worn by a clergy member.",Type of artwork: Lace
Sake Pourer with Flowers,"Japan, Meiji period",DescriptionThis sake pourer with purple thistles and orange peonies shows off Seifū Yohei III’s technique of enamels painted over the glaze.,Type of artwork: Ceramic
Flower Vase,"France, 16th century","DescriptionMade as two separate elements, this extremely rare example of Saint-Porchaire ware may have been conceived primarily as a tour de force of decorative art.",Type of artwork: Ceramic
Insects and Flowers,,"DescriptionMore than 26 feet long, this scroll presents insects, reptiles, and plants in delicate brushwork and pale colors, referring in style to earlier Southern Song dynasty (1127–1279) bird-and-flower paintings. Upon closer inspection, ants dismember a butterfly and reptiles wait to ambush their prey.An inscription at the end of the painting gives us an idea of its meaning: Attributed to the Qing dynasty scholar Zhang Xigeng (張錫庚, 1801–1861), the inscriber relates the work to an earlier painting by Qian Xuan (錢選, c. 1235–before 1307) and further suggests that the painting may allude to the relentlessness of natural selection. By drawing a parallel to tumultuous episodes in Chinese history, the writer might even hint at the domestic rebellions and the aggression of Western powers against China in his lifetime, particularly the Opium Wars (1839–60).",Type of artwork: Painting
Flower Vase with Phoenix in Paulownia,"Japan, Meiji period","DescriptionOne of Seifū Yohei III’s most visually impactful techniques, seen in this work, was to combine complex low-relief designs in clay surrounded by diffused underglaze blue or pink, which he then covered with a transparent or translucent glaze. Yohei III also experimented with clay bodies ranging from bluish white to ivory combined with translucent cream-colored glazes. The atmospheric effects he achieved were considered remarkable.",Type of artwork: Ceramic
A Young Woman Buying a Pink from a Young Man,"Italy, Venice, 18th century","DescriptionGiovanni Battista Piazzetta was celebrated for his finished drawings of saints, portraits, and teste di carattere (character heads). Cleveland’s sheet belongs to the latter genre, which describes portraits embellished with props to suggest a character type or types. Here, Piazzetta united three independent studies of individuals into a single scene, in which a young woman appears to purchase a pink—a type of flower related to the carnation—from a boy with a second young woman looking on.The image bristles with tantalizing narrative potential, but it is left to the viewer to interpret the scene as they wish. Drawings of this size and quality of finish were displayed on walls like paintings, rather than stored in portfolios, with the unfortunate consequence that the Venetian blue paper often faded to a grayish-tan as here. However, the virtuosity of Piazzetta’s technique endures on this sheet. His method of modeling—wetting and rubbing his black crayon rather than hatching—produces the density of tone and velvety shadow. Textural details are supplied by white chalk, evoking the silky weave of the boy’s shirt and the hard substance of the figures’ fingernails. Piazzetta's drawings were in high demand among affluent foreign visitors and helped to supplement his income.",Type of artwork: Drawing
Under Ekvatorn (Beneath the Equator),"Sweden, Stockholm, Svenskt Tenn, 20th century","DescriptionThough this pattern is titled Under Ekvatorn or Beneath the Equator, the design and textile were both produced in Sweden. Frank’s use of brightly colored flowers on a black background suggests a warm equatorial environment brimming with vitality.",Type of artwork: Textile
Birds and Flowers in a Landscape of the Four Seasons,"Japan, Muromachi period","DescriptionThe monk-painter Sesshp is revered today, as he was in his own time. While he left Kyoto's sophisticated intel-lectual and cultural environment to live in a provincial village in a far western province, he seems never to have severed contacts with the monastic communities of his young adulthood. His residence in Yamaguchi proved fortuitous because his patron, the region's military lord, enjoyed considerable freedom in conducting trade missions overseas with Korea and China. Sesshp went to China in 1467 and traveled about the country, visiting well-known historical sites and Chan (Zen) temples before returning two years later. Thus he became familiar with contemporary painting practices, materials, formats, and subject matter. His assimilation and then transmission of these elements had a profound impact on the following generations of ink painters, patrons, and Zen communities throughout Japan. Despite the presence on these byøbu of the name ""Sesshp,"" they are from the hand of another accom-plished but as yet anonymous follower active in the middle of the sixteenth century. Sesshp's name here, as on a handful of similar bird-and-flower byøbu, attests to the master's identification at that time with the colorful mural paintings on the same theme emanating from Ming dynasty China. This genre had heretofore been relegated to hanging scroll compositions, so the intro-duction into temple and daimyo residences of such an attractive theme surely caused considerable excitement in the later fifteenth century, when in all likelihood Sesshp introduced it into the Japanese painting reper-toire. Subsequently, artists of varying backgrounds and training tried their hands at these large, dramatic scenes. From right to left the composition portrays an array of flowering plants in the near distance that indicate the passage of the seasons. Birds, usually paired, occupy this setting, engaged in various activities that lend naturalism and an air of peacefulness. The world they inhabit may be characterized pictorially by expansive middle-ground waterscapes that end where the far distant mountains rise as backdrops. These features appear consistently in other bird-and-flower byøbu attributed to Sesshp. Also noteworthy is the absence of any birds of prey such as the samurai's beloved hawks, emblems of fierceness and graceful strength that appear often in the byøbu of sixteenth-century Kano and Soga school painters.",Type of artwork: Painting
Birds and Flowers Textile,"England, 20th century",DescriptionFamiliar designs by Arts and Crafts architect C. F. A. Voysey were still popular in the 1920s. The Cleveland Museum of Art acquired this colorful textile in 1926 from a traveling exhibition of works from the 1925 Paris exposition.,Type of artwork: Textile
Birds and Flowers in a Landscape of the Four Seasons,"Japan, Muromachi period","DescriptionThe monk-painter Sesshp is revered today, as he was in his own time. While he left Kyoto's sophisticated intel-lectual and cultural environment to live in a provincial village in a far western province, he seems never to have severed contacts with the monastic communities of his young adulthood. His residence in Yamaguchi proved fortuitous because his patron, the region's military lord, enjoyed considerable freedom in conducting trade missions overseas with Korea and China. Sesshp went to China in 1467 and traveled about the country, visiting well-known historical sites and Chan (Zen) temples before returning two years later. Thus he became familiar with contemporary painting practices, materials, formats, and subject matter. His assimilation and then transmission of these elements had a profound impact on the following generations of ink painters, patrons, and Zen communities throughout Japan. Despite the presence on these byøbu of the name ""Sesshp,"" they are from the hand of another accom-plished but as yet anonymous follower active in the middle of the sixteenth century. Sesshp's name here, as on a handful of similar bird-and-flower byøbu, attests to the master's identification at that time with the colorful mural paintings on the same theme emanating from Ming dynasty China. This genre had heretofore been relegated to hanging scroll compositions, so the intro-duction into temple and daimyo residences of such an attractive theme surely caused considerable excitement in the later fifteenth century, when in all likelihood Sesshp introduced it into the Japanese painting reper-toire. Subsequently, artists of varying backgrounds and training tried their hands at these large, dramatic scenes. From right to left the composition portrays an array of flowering plants in the near distance that indicate the passage of the seasons. Birds, usually paired, occupy this setting, engaged in various activities that lend naturalism and an air of peacefulness. The world they inhabit may be characterized pictorially by expansive middle-ground waterscapes that end where the far distant mountains rise as backdrops. These features appear consistently in other bird-and-flower byøbu attributed to Sesshp. Also noteworthy is the absence of any birds of prey such as the samurai's beloved hawks, emblems of fierceness and graceful strength that appear often in the byøbu of sixteenth-century Kano and Soga school painters.",Type of artwork: Painting
Sandy and Her Husband,America,"DescriptionIn Sandy and Her Husband, the dancing couple at the center of the image is joined by Amos herself: the artist inserted herself into the picture by rendering an earlier self-portrait, Flower Sniffer (1966), which hangs on the wall behind the couple. However, even as Amos is part of the composition, she is peripheral to the scene, unseen or ignored by the dancers. From the early 1960s until her death in 2020, Amos made paintings, prints, and textiles celebrating African American identity and culture, and often exploring women’s presence within that heritage.",Type of artwork: Painting
Woolen carpet with millefleurs decoration,,"DescriptionPashmina, a very fine fiber made from the fleece of Himalayan goats, was a material highly valued at the Mughal courts. Luxury rugs functioned in several ways, including as insulators for palatial and ceremonial spaces and as framing devices for important figures. In a biography of the Mughal emperor Akbar (reigned 1556–1605), called the Ain-i-Akbari, the court historian Abu’l Fazl (1551–1602) poetically wrote that such textiles created “a beautiful flowerbed.” The description is apt, as this carpet features an impressively symmetrical floral design known as millefleurs, or “thousand flowers” in French. Viewing several of these carpets and other hangings at once would have been visually impressive for court attendees.",Type of artwork: Carpet
Vase with Bird and Flower Design,,"DescriptionThis vase with broad shoulders and a tall neck represents a typical style of 19th-century blue-and-white porcelain. Unlike earlier examples decorated mainly with literati themes that evoke neo-Confucian moral values—plum blossoms (purity), orchids (grace), bamboo (integrity), and chrysanthemums (loftiness)—porcelain works of the 1800s feature fully bloomed peonies and a pair of playful birds, symbols of wealth and familial harmony.",Type of artwork: Ceramic
