Title,Country of Creation,Description,Type of Artwork
"The Marsh Flower, a Sad Human Head","France, 19th century","DescriptionThis series is one of many that Odilon Redon created throughout his career. Nearly two-thirds of his lithographs took the form of portfolios—prints connected conceptually by a theme or narrative and physically by a folder or binding. Such works were often dispersed over time, but Cleveland was fortunate to acquire several complete sets with their original covers during the 1920s. Dating from Redon’s early experimentation with lithography, Homage to Goya was intended as a tribute to 18th-century Spanish master Francisco de Goya, whose interest in dreams and the subconscious influenced Redon. The six seemingly unrelated images celebrate Goya’s ambiguity and collectively suggest the introspection and isolation of artistic practice.",Type of artwork: Print
Vase with flower arrangement and scrollwork,,"DescriptionThe symmetry of the floral arrangement emerging from the blue-and-white porcelain vase reveals an idealized vision. The overflowing vase is among the most ancient motifs in Indian art, used to convey the concept of abundance. This image, made for an elite patron of northern India, implies the prosperity that has accrued from international connections. The vase, painted with a European-style landscape, is of the type that was made in China for export to Europe. The scrolling ornament on either side may be ultimately derived from Persian motifs, but reworked into a European style, painted by Indian artists.",Type of artwork: Painting
Flowers in a Glass,Netherlands,"DescriptionOne of the first artists to specialize in flower painting, Ambrosius Bosschaert may have been inspired by the botanical gardens and scientific collections in his hometown of Middelburg. The flowers in this bouquet might be common today, but in the 1600s they were costly rarities. Bosschaert captured their fragile beauty with luminous colors and exquisite detail.",Type of artwork: Painting
Flower Stand (Jardinière),"France, early 19th Century","DescriptionThomire was the most productive and famous bronze caster in Paris around 1800. The border of this flower stand was cast from the same molds used for a centerpiece signed by Thomire; therefore, the stand can safely be presumed to have been produced by Thomire as well.",Type of artwork: Furniture and woodwork
Vase of Flowers,"France, 20th century","DescriptionInspired by Cleveland’s groundbreaking acquisitions of Odilon Redon’s artworks during the 1920s, local philanthropist and collector Leonard C. Hanna Jr. purchased this luminous pastel of a floral still life in 1937. Hanna acquired it from Jacques Seligmann, a dealer based in New York City and Paris who was fundamental in bringing 19th-century French art to American audiences. In 1939, Hanna loaned the pastel to the New York World’s Fair, where it represented Redon’s work. Those who saw it there were attracted to the vivid color and timeless subject, which preoccupied the artist at the end of his life.",Type of artwork: Drawing
Flower-shaped Mirror,,"DescriptionFrom ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs.",Type of artwork: Metalwork
Flower Vase with Chrysanthemums,"Japan, Meiji period","DescriptionSeifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha.",Type of artwork: Ceramic
Flower Shade,"Japan, Shōwa period","DescriptionThe calligraphy of poems still inspires many contemporary artists. Here, Ninomiya Hakuryu expressed his sensitive playfulness by writing the title of this work, Flower Shade, on a fan turned at a 90-degree angle and a haiku on the fan-shaped paper below.",Type of artwork: Calligraphy
Flower Market,"Mexico, 20th century","DescriptionFollowing the Mexican Revolution, artists throughout the country began to create works that celebrated the country's history and future. In this print, Diego Rivera shows a gathering of figures in indigenous costume gathering to exchange flowers, suggesting Mexico's bounty. Such images formed an important statement about national identity at a time of constant change.",Type of artwork: Print
Plate with Bird and Flower,,"DescriptionThis dish is a sophisticated example of later ceramists reinterpreting earlier styles of Japanese porcelain. The colors and patterns used look similar to some works produced on the island of Kyushu in the1600s and 1700s. However, the idea to combine alternating blocks of yellow, green, purple, and blue with a ""Chinese grasses"" (karakusa) pattern around the rim of the dish is one hit upon in the early 1900s by an artist familiar with the colors and patterns of earlier works.",Type of artwork: Ceramic
Covent Garden Flower Women,"England, 19th century","DescriptionThomson’s collaborator, reporter Adolphe Smith said that “The familiar sight of a poor woman holding a pale child in her arms and offering modest violets to the pedestrian, is pregnant with a poetry which rags, and dirt fail to obliterate.” The jobs, which were passed down between generations, required worked long hours and yielded a meager income.",Type of artwork: Photograph
Vase of Flowers,"France, late 19th-early 20th Century","DescriptionKnown for his dark, velvety charcoal drawings and lithographs, Redon began working predominantly in oil and pastel after 1900, thus enlisting color in his explorations of the world of dreams and the imagination. Like other Symbolists, Redon searched for alternative experiences beyond the rational logic of Naturalism and Impressionism. He used his knowledge of botany as a starting point for this painting, but infused the flowers with heightened luminosity and sensuous form.",Type of artwork: Painting
Flower Vase,"France, 16th century","DescriptionMade as two separate elements, this extremely rare example of Saint-Porchaire ware may have been conceived primarily as a tour de force of decorative art.",Type of artwork: Ceramic
A Young Woman Buying a Pink from a Young Man,"Italy, Venice, 18th century","DescriptionGiovanni Battista Piazzetta was celebrated for his finished drawings of saints, portraits, and teste di carattere (character heads). Cleveland’s sheet belongs to the latter genre, which describes portraits embellished with props to suggest a character type or types. Here, Piazzetta united three independent studies of individuals into a single scene, in which a young woman appears to purchase a pink—a type of flower related to the carnation—from a boy with a second young woman looking on.The image bristles with tantalizing narrative potential, but it is left to the viewer to interpret the scene as they wish. Drawings of this size and quality of finish were displayed on walls like paintings, rather than stored in portfolios, with the unfortunate consequence that the Venetian blue paper often faded to a grayish-tan as here. However, the virtuosity of Piazzetta’s technique endures on this sheet. His method of modeling—wetting and rubbing his black crayon rather than hatching—produces the density of tone and velvety shadow. Textural details are supplied by white chalk, evoking the silky weave of the boy’s shirt and the hard substance of the figures’ fingernails. Piazzetta's drawings were in high demand among affluent foreign visitors and helped to supplement his income.",Type of artwork: Drawing
Still Life: Bouquet of Flowers Emerging from the Grass,,"DescriptionStudies of flower arrangements in the European manner became a popular subject in Indian miniature painting during the reign of Mughal emperor Jahangir (reigned 1605–27). Inspired by imported prints, Indian artists rendered them in Mughal fashion. Here, in a painting made at a Rajasthani court, the entire bouquet grows magically out of the ground from a single stem.",Type of artwork: Painting
Spring Flowers,"France, 19th century","DescriptionThis early work reveal's Monet's fascination with capturing the transitory effects that became the primary focus of his later innovations. Painted with almost scientific accuracy, this still life has a freshness and immediacy derived partly from its composition. Isolated against a dark background, the fully mature peonies, potted hydrangeas, and basketed lilacs spill downward and outward from the geraniums at the rear. At the same time, Monet's energetic brushwork conveys the sparkling play of light on leaves and petals.",Type of artwork: Painting
Flower Vase with Phoenix in Paulownia,"Japan, Meiji period","DescriptionOne of Seifū Yohei III’s most visually impactful techniques, seen in this work, was to combine complex low-relief designs in clay surrounded by diffused underglaze blue or pink, which he then covered with a transparent or translucent glaze. Yohei III also experimented with clay bodies ranging from bluish white to ivory combined with translucent cream-colored glazes. The atmospheric effects he achieved were considered remarkable.",Type of artwork: Ceramic
Flower-shaped Mirror,,"DescriptionFrom ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs.",Type of artwork: Metalwork
Morning Glory with Black,"America, 20th century","DescriptionO'Keeffe is best known for close-up flower subjects whose magnified forms fill the entire space of each canvas. Likely inspired by similar compositions in modern photography, these images are not only celebrations of nature, but also striking essays in abstract design. Although many critics interpreted O'Keeffe's flower paintings as reflections of femininity in general and female sexuality in particular, the artist strongly opposed such readings. Throughout most of her career, she frequently attempted to persuade others to discuss her work without referring to her gender, writing on one occasion, ""I have always been very annoyed at being referred to as a 'woman artist' rather than an 'artist.'""",Type of artwork: Painting
Stater: Three-Petal Flower (obverse); Horse and wheels (reverse),,"DescriptionThe Iceni were a native tribe inhabiting Norfolk, Suffolk, and parts of Cambridgeshire. They were described by the Romans as powerful, unbroken by war. In AD 61 the king of the Iceni, Prasutagus, died, leaving his apparently considerable wealth to his two daughters and to the Roman Emperor, as joint heirs. However, while the Roman legions under Aulus Plautius were in Wales taking drastic steps to exterminate Druidism, Boadicea, the widow of Prasutagus, was ill-treated by the Romans and her two daughters were outraged. The Iceni rose in revolt and helped by their neighbors the Trinovantes, they overran the Roman settlements. It is said that 70,000 Romans were massacred at Camulodunum, and the Iceni, with Boadicea in a war chariot at their head, sacked and burned Verulamium (St. Albans, Hertfordshire), and London. Suetonius, one of the leading Roman generals, returned from the west with all possible speed and came up with the Iceni in the northwest of Roman London. Here a great battle was fought, resulting in a complete victory for the disciplined Roman forces; thousands of Britons were killed. The site of this battle is supposed to have been near what is now Kings Cross, in central London, commemorated by Battle Bridge Road.",Type of artwork: Coins
Vase with Bird and Flower Design,,"DescriptionThis vase with broad shoulders and a tall neck represents a typical style of 19th-century blue-and-white porcelain. Unlike earlier examples decorated mainly with literati themes that evoke neo-Confucian moral values—plum blossoms (purity), orchids (grace), bamboo (integrity), and chrysanthemums (loftiness)—porcelain works of the 1800s feature fully bloomed peonies and a pair of playful birds, symbols of wealth and familial harmony.",Type of artwork: Ceramic
Pair of Hexagonal Flower Pots,,"DescriptionThis deep hexagonal flowerpot, one of a pair in the collection, is numbered ""8"" and bears additional inscriptions to indicate specifically the location of its usage within the palace: ""for use in the Study of Illumination (Mingchuang yong)"" within the ""Hall of Cultivating the Mind (Yangxin Dian)"" of the Forbidden City. The inscriptions seem to suggest the Qing imperial provenance of this pair.",Type of artwork: Ceramic
Sandy and Her Husband,America,"DescriptionIn Sandy and Her Husband, the dancing couple at the center of the image is joined by Amos herself: the artist inserted herself into the picture by rendering an earlier self-portrait, Flower Sniffer (1966), which hangs on the wall behind the couple. However, even as Amos is part of the composition, she is peripheral to the scene, unseen or ignored by the dancers. From the early 1960s until her death in 2020, Amos made paintings, prints, and textiles celebrating African American identity and culture, and often exploring women’s presence within that heritage.",Type of artwork: Painting
Eight-foiled Mirror with Flower and Phoenix Design,,"DescriptionFrom ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs.",Type of artwork: Metalwork
Ink Flowers,"China, Yuan dynasty","DescriptionZhao Zhong's flowers, each paired with a poem, echo the fine-style colored flowers of the academic tradition, but instead he used only ink. Fine lines define the contours of each plant, as well as the veins within each petal and leaf. Careful ink washes give subtle modeling to the forms. The combination of lily, narcissus, and peony is unusual as the three belong to no known seasonal or symbolic system popular in the fourteenth century. Zhao’s medical training may have influenced the selection. Powdered lilies, for example, were prescribed to dispel grief, while the bark of tree peony roots was used as a treatment for various blood disorders.",Type of artwork: Painting
Bowl with Flower Petals,,"DescriptionYuan dynasty Shufu ware was a further development of the earlier qingbai ware and is characterized by a more heavily constructed body, opaque white glaze, molded decoration, and at times the inscription Shufu that gives the ware its name. Although lacking the inscription here, this bowl possesses the characteristics and decoration of Shufu pieces.",Type of artwork: Ceramic
Flower Vase with Butterflies,"Japan, Meiji period","DescriptionKyoto-based Japanese ceramist Seifū Yohei III (1851–1914) admired the glaze colors found on Chinese porcelain and tried to replicate them through intensive experimentation. His green and creamy white glazes were particularly well received. The combinations of colors with subtle molded and incised decorations in his ceramics respond powerfully to changes in light, creating a dynamic viewing experience. Names for the glazes, written in ink with a brush on the lids of the custom-made storage boxes for the works, often indicate a specific glaze or ware that had inspired him, even when the resulting color was distinctively his own.",Type of artwork: Ceramic
Mirror with Six Circular Flowers,,"DescriptionAround the mirror’s central knob, there are six floral designs set within circles, separated by candelabra-like dividers. These flower designs later became known as ""baoxiang hua 寶相花"" or ""flowers of precious appearance"", which often remind people of Buddhist connections. The design also includes a ribbon of inscription, praising the mirror’s clarity and celebrating the end of a war.",Type of artwork: Metalwork
Flower Vase with Dragon Roundels,"Japan, Meiji period","DescriptionKyoto-based Japanese ceramist Seifū Yohei III (1851–1914) admired the glaze colors found on Chinese porcelain and tried to replicate them through intensive experimentation. His green and creamy white glazes were particularly well received. The combinations of colors with subtle molded and incised decorations in his ceramics respond powerfully to changes in light, creating a dynamic viewing experience. Names for the glazes, written in ink with a brush on the lids of the custom-made storage boxes for the works, often indicate a specific glaze or ware that had inspired him, even when the resulting color was distinctively his own.",Type of artwork: Ceramic
Jar with Bird and Flower Decoration,,"DescriptionJoseon blue-and-white porcelains were called “靑畫,"" meaning “painted in blue.” The blue here indicates cobalt pigment. In the 1700s, the royal court banned the importation of cobalt blue for its luxurious nature; thus, relatively few Joseon blue-and-white porcelain vessels were produced at that time. In that context, this modest-looking jar was considered to be a rare luxury.",Type of artwork: Ceramic
Mirror with Lotus and Mantra,,"DescriptionThis mirror features intricate Buddhist designs. Around the central knob are four leaves, a ring of tiny beads, and then a circle made up of small lotus flower designs. Outside of that are eight big petal shapes, inside each is a Sanskrit letter. The mirror has the phrase ""In the name of Om mani padme hum"" written in a slightly incorrect form of Sanskrit, possibly because the Chinese mirror maker was not familiar with the language.",Type of artwork: Metalwork
Flower Container,"France, 18th century",,Type of artwork: Ceramic
Flower Garden,"Japan, 20th century","DescriptionWatanabe is associated with the Japanese folk art movement
that admired traditional crafts, like stencil, for their
unpretentiousness. Here, Watanabe employed wrinkled
handmade paper, commonly used for book covers and
endpapers, to add texture to the broad areas of flat color and
to emphasize the rough, handcrafted quality of his prints.
The unsophisticated, folk-like images allude to early Japanese
Buddhist prints, in which black lines, rich color contrasts,
and simple naïve forms are paramount. Being a Christian,
Watanabe often chose religious themes from the Bible.",Type of artwork: Print
Winter and Summer Flowers,"Japan, Momoyama period","DescriptionWhite camellias bloom behind a large pine in the right screen and blue morning glories creep through bamboo in the left screen of this composition. The mountains and bridge suggest a continuous landscape, but the paintings actually juxtapose flowers of winter and summer, with time progressing from right to left. Kaihō Yūshō painted similar landscapes for Zen temples in Kyoto.",Type of artwork: Painting
Plate with Bird and Flower,,,Type of artwork: Ceramic
Sword Guard (Tsuba) with Fence and Flower,,"DescriptionAn inscription on one side of this sword guard states that the maker went by the first name of Masafusa, and worked in the historical province of Musashi. This area includes modern Tokyo.",Type of artwork: Arms and Armor
"Fish and Flower and Female Buddha (Sakana, Hana to Butsujo)","Japan, 20th century","DescriptionMunakata did not make detailed designs for his prints, preferring instead to develop the composition on the block itself, aided by a rough sketch (see drawing for Fish and Flower and Female Buddha [1959.9]). He identified with the woodblock itself and said, ""If there is anything here [in my print] that is inferior to an uncarved block, then I have not created my print. I have lost to the board."" Fish and Flower and Female Buddha was commissioned by the Print Club of Cleveland as its 1959 presentation print.",Type of artwork: Print
The Blue Passion-flower,"England, late 18th-early 19th Century","DescriptionIn the 18th century, new engraving and etching techniques offered a variety of tonal effects that enhanced botanical prints. While mezzotint (in which the plate is roughened and then the engraver works from dark to light creating different values) and stipple (dots create values) make it possible to create the rich tonal scale and velvety texture of oil paint, aquatint imitates the delicacy and transparency of watercolor and ink wash.",Type of artwork: Print
Plate from Dessert Service: Nettle Leaved Bell Flower,"England, Derby, 18th century","DescriptionEach dish is decorated with recognizable plants, the names of which are inscribed on the base in both Latin and English. Identifying the blossoms only became customary in the late 18th century when a single piece of porcelain was decorated with one species, and flowers were represented along with leaves, stems, seed pods, and roots. All of this reflects Carolus Linnaeus’s recent invention of a scientific method to categorize all known flora. The decorations on the Derby factory’s products derive from contemporary English botanical publications. For instance, illustrations in William Curtis’s The Botanical Magazine served as models for the French marigold and nettle-leaved bell flower on the dessert service.",Type of artwork: Ceramic
Flower Vase with Bamboo Joints,"Japan, Taishō period","DescriptionSeifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha.",Type of artwork: Ceramic
Self Portrait,"France, School of Lyon, 19th century","DescriptionFrançois LePage belonged to a family of flower painters and worked in the French city of Lyon, which was famous for producing silk, particularly fabric with flower motifs. Flower painting was a specialty associated with the Lyon school of painting, and is a subject that requires both delicacy and dexterity, both of which are highlighted in this small self-portrait.",Type of artwork: Painting
"Flower, Birds, and Profile Animal Mola Panel",,"DescriptionThis whimsical, well-made panel was created by a female artist of the Guna, an Indigenous people of the Republic of Panamá. It was one of two identical or similar panels that were stitched into the front or back of a blouse (mola). Such blouses are so distinctive to the Guna that they are the single most recognizable element of Guna cultural identity.",Type of artwork: Garment
Canopy with Dragon among Flowers,,"DescriptionThe tapestry sewn into the center of this canopy depicts dragons among flowers, a classic design in Chinese art. Its weavers paid attention to fine details, such as the color gradation of the dragon’s scales, or subtle color changes in the flower petals and leaves. The selection of colored silk threads is soft in tone but rich in variety. All these stylistic characteristics indicate that this tapestry was woven in an imperial Southern Song workshop in the capital of Hangzhou, a center of textile production in the Jiangnan region.",Type of artwork: Textile
Birds and Flowers,"Japan, Momoyama period","DescriptionThe landscape depicted in this pair of screens follows a seasonal progression from right to left, starting with the blossoming plum of early spring and ending with late autumn peonies. A variety of smaller birds are positioned throughout the scene, and a trio of swimming ducks is bracketed by early summer irises and early autumn bellflowers at the center. While some raptors (birds of prey) terrorize a pheasant and an egret (a waterfowl) to the right, a peacock and peahen converse to the left. Hawks are associated with military prowess, while the peafowl suggest cultural prestige.",Type of artwork: Painting
Seated Male Carrying Maize,,"DescriptionThis figure probably represents an Aztec deity-either Macuilxochitl or Xochipilli-whose domain was beauty, the arts, and such pleasures as gameplaying, dancing, and sex. Both names include the Aztec word for ""flower,"" and in one hand the figure holds a cone of flowers, perhaps the blossoming crown of a cactus. For the Aztecs, flowers signified beauty, refinement, and fertility in general and sexuality in particular. The burden of maize cobs on his back also may allude to his creative energies.",Type of artwork: Sculpture
Pair of Figure in Flower Ornaments,,"DescriptionFigures within flowers are one of the most enchanting themes of the Maya ceramic art of Jaina, an island off the western Yucatán coast. The figures, usually males who cross their arms over their bodies, are either radiantly youthful or aged (as here), suggesting a relationship to the life cycle.",Type of artwork: Jewelry
Hollyhock-shaped Cup,,"DescriptionThis very rare porcelain cup is called a hollyhock cup because its rim resembles a hollyhock blossom. This type of cup was produced only in the state-owned kiln for a limited time from the late 1400s to mid-1500s. Like sunflowers, hollyhocks also open their blooms toward the sun, signifying loyalty to the king. According to Korean royal archives, hollyhock cups were used during state banquets when the king offered wine to court officials. Also, a hollyhock-shaped cup was used in tea ceremonies to welcome visiting Chinese diplomats. In comparison to ceramic works of the late Joseon period that favor natural and rustic sensibilities seen in this gallery, this hollyhock cup illustrates the precision and perfection that were core aesthetic values of early Joseon period art.",Type of artwork: Ceramic
Seated Deity,,"DescriptionThe crested headdress with tassels suggests that this youthful, seated male is Macuilxochitl (Five Flower), an Aztec supernatural patron of many forms of pleasure, among them music, dance, feasting, games, and sex. His cult was popular among common people, and this effigy probably was created for use in a small neighborhood temple. The stone surface could have been plastered and then brightly painted.",Type of artwork: Sculpture
Flower Embroidery Design for Silk Manufactory of Lyon,"France, 18th century","DescriptionThis drawing features a floral design intended for use by the silk manufactory in Lyon, a city with a long tradition in this industry. Jean Baptiste Pillement’s chalk drawings were translated not only into fabric, but also prints, which circulated and spread his style widely. Here, he used a small range of colors and repeated forms to create an appealing decorative motif.",Type of artwork: Drawing
Large Dish with Artichokes,,"DescriptionCeramic vessels and tiles produced in Iznik, Turkey, for the Ottoman court in Istanbul represented the finest Islamic ceramics. Floral and vegetal motifs are a hallmark of Iznik pottery. The center of this dish is covered in a dynamic artichoke motif interwoven with rosettes and serrated saz leaves. The artichoke design was likely inspired by luxury Italian textiles imported into the Ottoman court. The dish represents a high point of Ottoman art during the reign of Sultan Suleyman the Magnificent (1520–66) in which European, Persian, Chinese, and Egyptian influences contributed to a distinct artistic language.",Type of artwork: Ceramic
Flowering Crab Apple,"China, Ming dynasty","DescriptionShen Zhou painted a broken branch (zhezhi 折枝) of crab apple, a fragment of nature rather than the full plant in its natural context. Shen uses calligraphic outlines in pure ink to depict the flower petals. The swift yet precise brushstrokes together with the slight S-shaped branch convey vitality. The inscription is a poem written by the artist, commenting on the lovely color and melancholic aura of the crab apple blossom. Shen Zhou is the founder of the Wu School, a group of scholars and officials active around Suzhou in eastern China, known for practicing painting and calligraphy in a refined and elegant style.",Type of artwork: Painting
Woman Wearing a Flower,"America, 20th century",,Type of artwork: Painting
The Botanical Magazine or Flower Garden Displayed:  Umbel-Flowering Bulb-Bearing Orange-Lily,"England, 19th century","DescriptionEngland was central to botanical concerns in the 18th century. For example, Kew Gardens was founded in 1721 and became a major institution for knowledge about plants from every continent. Interest in gardening led William Curtis to found the specialized magazine Botanical Magazine: or Flower Garden Displayed in 1787. Curtis aimed “to illustrate and describe the most ornamental flowering plants including information on their cultivation and illustrations drawn from living plants and colored as near to nature as the imperfection of color will admit.”",Type of artwork: Print
Fluted Cup with Dragon Handle,,"DescriptionVery thinly potted, the subtly lobed body of this cup is almost translucent. The thin, slightly opaque, light greenish glaze lends a sugary shine. Applied elements, including the handle, beaded borders, and sculptural floret, are constructed and glazed with the same materials as the body, providing a seamless blend of form and decorative embellishment. The result is an evocative reminder of slightly earlier silver cups, also created in the form of flowers. This pristine, natural construction is challenged, however, by the archaic dragon that acts as the handle. Borrowed from the decoration found on much earlier bronzes, this added form illustrates the eclecticism of the Yuan, the attempt to blend present vision with interest in the past.",Type of artwork: Ceramic
Border Fragment of a Shawl,,"DescriptionGreen, yellow, red, blue, and white woolen threads were woven to create the instantly recognizable Kashmiri teardrop flower patterns on this shawl border. Such a work was part of a larger textile, which would have entranced the viewer with its complexity and vibrancy, especially as it moved with the wearer and contrasted with other articles of clothing.",Type of artwork: Textile
London Types: Flower Girl,"England, 19th century","DescriptionLondon Types celebrates the affection residents felt for their city at the end of the 19th century. The series includes many depictions of women because the publisher William Heinemann, a strong supporter of the struggle for equality, advised the artist to represent both sexes equally. The scenes document London of the 1890s with contemporary references.",Type of artwork: Print
Persian Flowers,"France, 18th century","DescriptionJean Baptiste Pillement was one of the most influential designers of the Rococo period, known for his varied and prolific chinoiseries (European variants of Chinese and Japanese motifs). His designs were spread throughout Europe primarily via their translation into prints. This print is one of a set of six etched by Pillement himself. Each depicts a so-called “Persian” flower, largely fantasies, presenting strange, alienlike floral forms that could be adapted to various uses from textiles to wall decorations.",Type of artwork: Print
