Title,Period,Country,Classification
Flowers Hotel Porch Pasa Caballos Cuba 1959,Date Unknown,Null,Drawings
Flowers Hotel Porch Pasa Caballos Cuba,Date Unknown,Null,Drawings
[Sir William Henry Flower],Date Unknown,Null,Photographs
Flowers in Vase,Date Unknown,Null,Prints
Flowers of Westport,Date Unknown,Null,Prints
Still Life with Apples and Flowers,Date Unknown,Null,Prints
Detail of Mise-en-carte for Woven Brocade with a Bouquet with Flowers and Pearls,Date Unknown,Null,Drawings
Mise-en-carte and Sample for a Taffeta Rayé Broché with Vertical Stripes with Garlands and Bundles with Flowers and Leaves,Date Unknown,Null,Drawings
Design for Embroidered or Woven Textile with Red Stylized Flowers,Date Unknown,Null,Drawings
“Sixth Month” from Fujiwara no Teika’s “Birds and Flowers of the Twelve Months”,17th - 19th Century,Japan,Paintings
Box decorated with flowers and clouds,14th - 20th Century,Korea,Lacquer
"Embroidery Design for a Waistcoat with Garlands of Fruits, Flowers and Leaves",Date Unknown,Null,Drawings
From Flowers album cards (W213),Date Unknown,Null,Prints
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (3)",Date Unknown,Null,Prints
Gold beads with lotus flowers and circular bosses,5th - 4th Century BCE,Greece,Gold and Silver
Textile Design with Bundles of Stylized Flowers inside Flower-Shaped Frames and Large Stylized Flowers Over a Background with Small Floral Motifs,Date Unknown,Null,Drawings
Designs for a brooch with a bundle of flowers and leaves,Date Unknown,Null,Albums
Ornamental designs for Point d'Alençon lace with thin garlands of stylized flowers and leaves,Date Unknown,France,Books
[Fashion Study of Woman Leaning Against Table with Flowers],Date Unknown,Null,Photographs
Conucopia with Flowers,Date Unknown,Germany,Prints
Flowers,Date Unknown,Germany,Prints
[Flowers in Vases with birds and insects],Date Unknown,Italy,Books
The Hat Pinned with Flowers,Date Unknown,Null,Prints
"Pink and white flowers, bakery card from the Picture Cards series (D63), issued by The Cleveland Bakery",Date Unknown,Null,Prints
Bird on Ground Beside Two Blooming Flowers,17th - 20th Century,China,Paintings
Copy in oils of a wall painting: Girl with flowers,Date Unknown,Null,Not Assigned
"Girls Entertained by Performers, from the illustrated book Flowers of the Four Seasons",17th - 19th Century,Japan,Prints
Saucer with Bird-and-Flower Design and Basketry Exterior,17th - 19th Century,Japan,Ceramics
A Thousand Flowers (Tausendblumen),Date Unknown,Null,Wallpaper
A Thousand Flowers (Tausendblumen),Date Unknown,Null,Wallpaper
A Thousand Flowers (Tausendblumen),Date Unknown,Null,Wallpaper
A Thousand Flowers (Tausendblumen),Date Unknown,Null,Wallpaper
A Thousand Flowers (Tausendblumen),Date Unknown,Null,Wallpaper
A Thousand Flowers (Tausendblumen),Date Unknown,Null,Wallpaper
New Book of Trophies of Flowers and Foreign Fruit,Date Unknown,France,Books
Flowers (plate 33),Date Unknown,Null,Prints
Flowers (plate 28),Date Unknown,Null,Prints
Flowers (plate 36),Date Unknown,Null,Prints
Flowers (plate 29),Date Unknown,Null,Prints
Flowers (plate 37),Date Unknown,Null,Prints
Flowers (plate 34),Date Unknown,Null,Prints
Flowers (plate 30),Date Unknown,Null,Prints
Flowers (plate 31),Date Unknown,Null,Prints
Flowers (plate 35),Date Unknown,Null,Prints
Flowers (plate 32),Date Unknown,Null,Prints
Virgin in Oval Frame with Flowers,Date Unknown,Null,Prints
Christ in Oval Frame with Flowers,Date Unknown,Null,Prints
"Vignette with a Medal depicting Harpocrate and Lotus Flowers, Volume I, Page 12, from Description des Principales Pierres gravées du Cabinet de S.A.S. Monseigneur le Duc d'Orléans Premier Prince du sang. A Paris chez M. l'abbé de la Chau au Palais-Royal M. l'abbé Le Blond au collége Mazarin Et chez Pissot, libraire, quai des Augustins",Date Unknown,Null,Prints
"Blackwork Designs with Birds and Insects, Plate 2 from a Series of Blackwork Ornaments combined with figures, birds, animals and flowers",Date Unknown,Null,Albums
"Blackwork Designs with Birds and Insects, Plate 7 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
"Blackwork Designs with Various Mammals and Birds, Plate 5 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
"Blackwork Designs with Putti and Felines, Plate 8 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
"Plate 581 - Povi-Tamu (""Flower Morning"") - San Ildefonso",Date Unknown,Null,Photographs
Flowers and Birds,17th - 20th Century,China,Paintings
Young Girl with Flowers,Date Unknown,Null,Prints
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flower, Plant and Landscape Sketches from Life",Date Unknown,Null,Paintings
"Flowering Apple Tree, Middletown, New Jersey",Date Unknown,Null,Photographs
"[Family Group: Father Holding Open Book, Mother Holding Paper Scroll, Daughters Holding Flowers]",Date Unknown,Null,Photographs
"Actress wearing flowered bodice with pink ribbon bow, from Stars of the Stage, First Series (N129) issued by W. Duke, Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"Actress wearing pink flowers on bodice, from Stars of the Stage, First Series (N129) issued by W. Duke, Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"Actress wearing elaborate hat with flowers, from Stars of the Stage, Third Series (N131) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"Actress wearing hat embellished with ribbon and flowers, from Stars of the Stage, Third Series (N131) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"Blonde actress wearing petite straw-brimmed cap decorated with white flowers, from Stars of the Stage, Third Series (N131) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"[Actress lounging while holding bouquet of flowers], from the Actors and Actresses series (N145-8) issued by Duke Sons & Co. to promote Duke Cigarettes",Date Unknown,Null,Photographs
"Actress wearing hat with pink flowers and blue bow, from Stars of the Stage, Fourth Series (N132) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
Time Flowers,Date Unknown,Null,Prints
"The Virgin and Child seated on a pedestal at center, to the right a monk offers a flower, and in the foreground a saint kneels before them while Saint Lawrence rests his hands on a gridiron; from 'Recueil d'estampes d'après les plus beaux tableaux et d'après les plus beaux desseins qui sont en France, Cabinet Crozat' after a drawing by Pietro Antonio de' Pietri",Date Unknown,Null,Prints
"Actress in profile wearing wide brimmed straw hat decorated with flowers, from Stars of the Stage, Third Series (N131) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"[Actress wearing gown decorated with flowers], from the Actors and Actresses series (N145-8) issued by Duke Sons & Co. to promote Duke Cigarettes",Date Unknown,Null,Photographs
Girl standing to the right holding flowers,Date Unknown,Null,Prints
"Actress holding bouquet of flowers, from the Actresses series (N246), Type 2, issued by Kinney Brothers to promote Sporting Extra Cigarettes",Date Unknown,Null,Photographs
The Hat Pinned with Flowers and the Bather,Date Unknown,Null,Prints
Rincean with flowers and six additional variously shaped ornamental designs,Date Unknown,Null,Books
Parrots in Flowering Tree,14th - 19th Century,China,Paintings
Flowering Branch (magnolia and prunus) and Birds in Snow,14th - 19th Century,China,Paintings
"Frieze with Mammals, Insects, a Lizard, and Flowers",Date Unknown,Null,Prints
Arabesque with Two Flowers on Dotted Background,Date Unknown,Null,Prints
Plate 5: Ornamental Design with Flowers and Animals,Date Unknown,Null,Prints
Plate 3: Ornamental Design with Insects and Flowers,Date Unknown,Null,Prints
Pegasus Fed Flowers by a Muse,Date Unknown,Null,Prints
Textile Design with Red and Green Flowers,Date Unknown,Null,Drawings
Flowers and Berries,Date Unknown,Null,Prints
"Woman wearing hat with flowers and feathers, from the Novelties series (N228, Type 2) issued by Kinney Bros.",Date Unknown,Null,Prints
Design for a ceiling with putti and a flowered balustrade,Date Unknown,Null,Drawings
Bunte Blumen (Colorful Flowers),Date Unknown,Null,Books
Andrews' Drawing Book of Flowers,Date Unknown,Null,Books
"Album of Fan-Shaped Paintings of Figures, Birds and Flowers",17th - 19th Century,Japan,Paintings
"Blackwork Designs with Acrobats, Butterflies and Other Insects, Plate 3 from a Series of Blackwork Ornaments combined with Figures, Birds, Animals and Flowers",Date Unknown,Null,Albums
The Intelligence of the Flowers,Date Unknown,Null,Books
Daphnis and Chloe Picking Flowers,Date Unknown,Null,Prints
Landscapes and Flowers,14th - 20th Century,China,Paintings
Urn with flowers and hanging foliage (card design),Date Unknown,Null,Drawings
Bouquet of star-shaped flowers (card design),Date Unknown,Null,Drawings
Red Flowers and Green Leaves,Date Unknown,Null,Prints
Untitled (Yellow and Black Vase With Flowers),Date Unknown,Null,Prints
Christmas/New Year Greeting Card: Woman in Flowering Wood,Date Unknown,Null,Prints
The Hat Pinned with Flowers (Le Chapeau Épinglé),Date Unknown,Null,Prints
Vermont Drawing Book of Flowers,Date Unknown,Null,Books
Enfants Cueillant des Fleurs (Children Picking Flowers),Date Unknown,Null,Prints
Flora's Feast: A Masque of Flowers,Date Unknown,England,Books
[Bride Holding Flowers Posed in Front of Painted Backdrop],Date Unknown,Null,Photographs
"Fragments of leaves and Flowers, Tomb of Ipuy",13th - 11th Century BCE,Egypt,Not Assigned
Plate from a series of fantastical flowers,Date Unknown,Null,Prints
Plate from a series of fantastical flowers,Date Unknown,Null,Prints
Plate 4 from a series of fantastical flowers,Date Unknown,Null,Prints
Plate from a series of fantastical flowers,Date Unknown,Null,Prints
Preliminary Drawing of Three Deer Mounted on a Hanging-scroll Painting of Flowering Bush Clover,17th - 19th Century,Japan,Paintings
Costume Design for Female Dancer in a White Dress with Pink Flowers,Date Unknown,Null,Drawings
Bees on flowers (Abeilles sur des fleurs),Date Unknown,Null,Prints
Design for a Valance with Bundles and Garlands of Flowers and a Monogram Presenting Two Design Variants,Date Unknown,Null,Drawings
"Design for a Chair Seat Cover with a Classical-Inspired Vase with Two Handles, Two Exotic Birds and Two Half-Human Grotesque Figures Inside an Ornamental Frame with Two Cornucopias Holding Bundles of Leaves and Fruits and Decorated Scrolls of Leaves and Flowers",Date Unknown,Null,Drawings
Rose from Flowers album cards (W213),Date Unknown,Null,Prints
(Bouquet of Flowers) from Flowers album cards (W213),Date Unknown,Null,Prints
Designs for Embroidery with Bundles and Garlands with Flowers and Leaves,Date Unknown,Null,Drawings
Mise-en-carte with Pink Basket and Fruit and Sprays of Blue Flowers,Date Unknown,Null,Drawings
The Scent of Scarlet Flowers (Shuka funpō),19th Century,Japan,Paintings
Pansies and Lobelia from Flowers album cards (W213),Date Unknown,Null,Prints
