Title,Country,Period,Classification
Large Storage Jar for Cool Water With Flower Motifs,Iraq,Date Unknown,Ceramics
Lotus flower amulet from a foundation deposit of Apries,Egypt,7th - 6th Century BCE,Not Assigned
Inrō with Flower Roundels,Japan,17th - 19th Century,Inrō
Dish in the shape of a chrysanthemum flower (one of two),China,17th - 20th Century,Jade
Dish in the shape of a chrysanthemum flower (one of two),China,17th - 20th Century,Jade
"Inrō with Scattered Musical Instruments, Theatrical Implements, and Flowers",Japan,19th - 20th Century,Inrō
Walking Flower,Null,Date Unknown,Sculpture
Flowers,Null,Date Unknown,Paintings
Flower - Piece B,Null,Date Unknown,Prints
Flower holder,Null,Date Unknown,Hardstone
Flower receptacle,China,18th Century,Jade
Flower holder,Null,Date Unknown,Hardstone
Flower holder,Null,Date Unknown,Jade
Flower Vase,Japan,17th - 20th Century,Metalwork
Flower vase,China,17th Century,Jade
Flower vase,China,17th Century,Jade
Flower vase,China,14th - 17th Century,Jade
Flower accessory,Null,Date Unknown,Not Assigned
Flower vase,Null,Date Unknown,Pottery
Flower Container,Japan,20th - 21st Century,Metalwork
Flower vase,China,18th Century,Jade
Metal Inrō with Flower Medallions,Japan,17th - 20th Century,Inrō
Winter Landscapes and Flowers,China,17th - 20th Century,Paintings
Mount Fuji and Flowers,Null,Date Unknown,Paintings
"Double-cut (Nijū-giri) Flower Container (Hanaire), named Cool Summer Morning (Shinryō)",Japan,17th - 19th Century,Basketry
Flower holder,Null,Date Unknown,Hardstone
Flower Pot,China,13th - 14th Century,Ceramics
Flower Pot,Japan,17th - 20th Century,Ceramics
Flower Vase,Japan,17th - 20th Century,Ceramics
Flower vase,Japan,20th Century,Ceramics
Flower holder,Null,Date Unknown,Pottery
Flower basket,Null,Date Unknown,Metalwork
Flower Container,Japan,20th - 21st Century,Ceramics
Flower Pot,China,14th - 17th Century,Ceramics
Flower Pot,China,13th - 14th Century,Ceramics
Flower Vase,Japan,17th - 19th Century,Ceramics
Flower Pot,China,13th - 14th Century,Ceramics
Flower Vase,Japan,17th - 19th Century,Ceramics
Flower vase,China,18th Century,Jade
Flower vase,China,14th - 17th Century,Jade
Flower vase,Japan,17th - 19th Century,Ceramics
Flower vase,Japan,17th - 19th Century,Ceramics
Flower Vase,Japan,17th - 20th Century,Ceramics
Flower vase,China,17th - 20th Century,Jade
Shard:  Flower,Null,Date Unknown,Ceramics
Flower Study,Null,Date Unknown,Drawings
Flower study,Null,Date Unknown,Drawings
White Flower,Null,Date Unknown,Paintings
Flower Studies,Null,Date Unknown,Paintings
Basket of Flowers,Null,Date Unknown,Paintings
Flower Study,China,17th - 20th Century,Paintings
Flower Study,China,17th - 20th Century,Paintings
Natane Flower,Japan,17th - 19th Century,Prints
Flower Study,China,14th - 17th Century,Paintings
Flower Vendor,China,14th - 19th Century,Paintings
Flower Castle,Null,Date Unknown,Drawings
Single Flower,Null,Date Unknown,Drawings
Flower Vendor,Null,Date Unknown,Prints
Flower Studies,India,Date Unknown,Codices
Shard:  Flower,Null,Date Unknown,Ceramics
Flower Vendor,Null,Date Unknown,Paintings
Flower Arrangement,Null,Date Unknown,Prints
Flower Vase,Japan,17th - 20th Century,Ceramics
Flower vase,Japan,17th - 19th Century,Ceramics
Flower Market,Null,Date Unknown,Paintings
Flower Basket,Japan,19th - 20th Century,Basketry
Flower Girls,Null,Date Unknown,Prints
Netsuke of Flying Goose over Flowers,Japan,17th - 20th Century,Netsuke
Exotic Flower,Null,Date Unknown,Prints
Flower Vase,Japan,20th Century,Metalwork
Flower Catalog,Null,Date Unknown,Variable Media
Inrō with Basket of Spring Flowers (obverse); Basket of Autumn Flowers (reverse),Japan,17th - 19th Century,Inrō
"Title Plate, from Pendant Designs with Deities in Niches and Flower-Arabesques",Null,Date Unknown,Prints
Design for the Verso of a Pendant with Three Large Flowers,Null,Date Unknown,Prints
Design for the Verso of a Pendant with a Flower-Piece at Bottom Center,Null,Date Unknown,Prints
An urn overflowing with fruit and flowers,Null,Date Unknown,Ceramics
Vase of Flowers,Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Black and White),Null,Date Unknown,Prints
Flowers (Hand-Colored),Null,Date Unknown,Prints
Birds and Flowers of the Four Seasons,Japan,16th - 17th Century,Paintings
A Vase with Flowers,Null,Date Unknown,Paintings
Flower girl ensemble,Null,Date Unknown,Not Assigned
Pair of flower holders,Null,Date Unknown,Pottery
Wall flower holder,Null,Date Unknown,Pottery
Hanging Flower Vase,Japan,17th - 19th Century,Ceramics
Small Flower Painting V,Null,Date Unknown,Drawings
Flower girl ensemble,Null,Date Unknown,Not Assigned
A Vase of Flowers,Null,Date Unknown,Paintings
Flower Still IV,Null,Date Unknown,Prints
Flower Greetings! (Blumengrusse),Null,Date Unknown,Prints
Bird and Flower,Null,Date Unknown,Prints
Girl with Flower Pot,Null,Date Unknown,Prints
Hanging flower basket,China,17th - 20th Century,Ceramics
Flower Study (from Sketchbook),Null,Date Unknown,Not Assigned
Flower Greetings! (Blumengrüsse!),Null,Date Unknown,Prints
Pink Flower Pattern,Null,Date Unknown,Drawings
Woman with a Flower,Null,Date Unknown,Prints
Woman holding a flower,Null,Date Unknown,Prints
Flower (from Sketchbook),Null,Date Unknown,Not Assigned
The Flower Girl Fanchonette,Null,Date Unknown,Prints
Globe flower (Trollius laxus),Null,Date Unknown,Drawings
Flower Basket (Hanakago),Japan,20th Century,Basketry
Flower and Insect,Null,Date Unknown,Paintings
Flower and Toad,China,17th - 20th Century,Paintings
The Blue Flower,Null,Date Unknown,Books
Flower Basket (Hineri-gumi hanakago),Japan,20th Century,Basketry
Flower Basket (Hanakago),Japan,20th Century,Basketry
Woman Flower Basket (Hanaire),Japan,20th - 21st Century,Basketry
Large Flower Basket (Hanakago),Japan,19th - 20th Century,Basketry
Karamono-Style Flower Basket (Hanakago),Japan,19th - 20th Century,Basketry
Flower Basket (Hanakago),Japan,20th Century,Basketry
Flower Basket (Tamasudare-ami hanakago),Japan,20th Century,Basketry
Flower Basket (Hanakago),Japan,20th Century,Basketry
Flower Basket (Hanakago),Japan,19th Century,Basketry
Flower Basket (Hanakago),Japan,20th Century,Basketry
Sozen Flower Basket,Japan,20th Century,Basketry
Bowl with Flower,China,12th - 13th Century,Metalwork
Peony Flower and Leaves,China,10th - 13th Century,Paintings
The Flower Garden,Null,Date Unknown,Prints
Flower Basket (Hanakago),Japan,19th - 20th Century,Basketry
Lotus Flower Base,Indonesia,8th - 11th Century BCE,Metalwork
Waka Poem: Moonlit Flower,Japan,14th - 16th Century,Calligraphy
Flower Holder (Hanaire),Japan,20th - 21st Century,Basketry
Gourd-Shaped Flower Basket (Hanakago),Japan,20th Century,Basketry
A Languid Floating Flower,Null,Date Unknown,Prints
"Flower Vessel ""Chuyo""",Japan,20th - 21st Century,Metalwork
Round Flower Vase,Japan,20th - 21st Century,Metalwork
Flower and Rock,Null,Date Unknown,Paintings
Pendant in the Shape of a Pomegranate Flower,Egypt,16th - 11th Century BCE,Not Assigned
Flower holder in the shape of a peach tree,China,17th - 20th Century,Hardstone
Flower Pot with Stand,China,18th Century,Lacquer
Pair of flower vases,Null,Date Unknown,Ceramics
Headband with Heads of Gazelles and a Stag Between Stars or Flowers,Egypt,18th - 16th Century BCE,Not Assigned
Flower Pot with Stand,China,18th Century,Lacquer
Flower vase (cuvette Mahon),Null,Date Unknown,Ceramics
Flower pots (caisses carrés),Null,Date Unknown,Ceramics
Cactus Plant in Flower,India,Date Unknown,Paintings
Seated Nude Holding a Flower,Null,Date Unknown,Paintings
Upset at the Flower Stall,Null,Date Unknown,Prints
Flowers in a Grotesque Vase,Null,Date Unknown,Paintings
"Quilt, Prairie Flower Pattern",United States,Date Unknown,Not Assigned
Armor-Plaited Jar Flower Basket (Hanakago),Japan,20th Century,Basketry
Textile with Flower Motive,Null,Date Unknown,Textiles
Textile with Flower Motif,Null,Date Unknown,Textiles
Shard:  Torso with Flower,Null,Date Unknown,Ceramics
Shard:  Offerer with Flower,Null,Date Unknown,Ceramics
Book Cover (Two Flower Vases),Null,Date Unknown,Prints
Fan Design with Flower Motifs,Null,Date Unknown,Drawings
Girl with a Flower Pot,Null,Date Unknown,Drawings
Large Karamono-Style Flower Basket (Hanakago),Japan,19th - 20th Century,Basketry
Flower Vase and Lacquer Box,Japan,17th - 19th Century,Prints
Flower Basket (Hanakago) in the Shape of a Blossoming Flower,Japan,20th Century,Basketry
Turned Soil Flower Basket (Hanakago),Japan,20th - 21st Century,Basketry
A Flower in the Forest,Null,Date Unknown,Prints
Thousand-Line Flower Basket (Senjō hanakago),Japan,20th Century,Basketry
Holy Shrine Flower Basket (Hanakago),Japan,20th Century,Basketry
Unglazed flower vessel (yakishime kaki),Japan,20th Century,Ceramics
Flower-Style Box with Drawers,India,Date Unknown,Woodwork
Bouquet of Sunflowers,Null,Date Unknown,Paintings
Shard:  Offerer with Flower,Null,Date Unknown,Ceramics
Shard:  Offerer with Flower,Null,Date Unknown,Ceramics
Fragment of a Flower,Null,Date Unknown,Enamels
Fragment of a Flower,Null,Date Unknown,Enamels
Fragment of a Flower,Null,Date Unknown,Enamels
Dish with flower scrolls,China,13th - 14th Century,Ceramics
Flower in full blossom,China,10th - 12th Century,Amber
Flower holder with pomegranate,China,17th - 20th Century,Hardstone
Temple for a Flower Garden,Null,Date Unknown,Prints
Stag and Flower Pattern Frame,Null,Date Unknown,Prints
Stag and Flower Pattern Frame,Null,Date Unknown,Prints
Stag and Flower Pattern Frame,Null,Date Unknown,Prints
Two Designs for Flower Stands,Null,Date Unknown,Drawings
Plate with flower basket,China,17th Century,Ceramics
"Flower Delivery Messenger, New York",Null,Date Unknown,Photographs
The Flower of the City,Null,Date Unknown,Prints
Classical woman with flower basket,Null,Date Unknown,Pottery
Dish with flower scrolls,China,17th - 20th Century,Ceramics
Pair of flower sellers,Null,Date Unknown,Ceramics
"Flower Triptych: Carnation, Amaryllis, Rose",Null,Date Unknown,Drawings
Flower Baskets and Farmer's Hat,Japan,19th - 20th Century,Paintings
Sacred Trees Flower Basket (Hanakago),Japan,20th - 21st Century,Basketry
Dancing Frog Flower Basket (Hanakago),Japan,19th Century,Basketry
Calm Heart Flower Basket (Hanakago),Japan,20th Century,Basketry
Setting Sail (Boat-Shaped Flower Basket),Japan,20th - 21st Century,Basketry
Woman with a flower brooch,Senegal,Date Unknown,Photographs
Woman With a Flower Brooch,Senegal,Date Unknown,Negatives
Vase of Flowers (Pink Background),Null,Date Unknown,Paintings
Conical bowl with flowers and birds (one from a set),China,12th - 14th Century,Metalwork
Flower holder with floral design,China,17th - 20th Century,Hardstone
Flower holder in the form of pine and bamboo,China,17th - 20th Century,Hardstone
"Series of Small Flower Motifs, Plate 1",Null,Date Unknown,Prints
Flower pot or bulb pot,Null,Date Unknown,Pottery
"Series of Small Flower Motifs, Plate 3",Null,Date Unknown,Prints
"Series of Small Flower Motifs, Plate 2",Null,Date Unknown,Prints
"Series of Small Flower Motifs, Plate 4",Null,Date Unknown,Prints
"Series of Small Flower Motifs, Plate 5",Null,Date Unknown,Prints
"Series of Small Flower Motifs, Plate 6",Null,Date Unknown,Prints
Rank Badge with Mallow Flower,China,17th - 20th Century,Textiles
Three girls with flower backdrop,Null,Date Unknown,Photographs
Fish and Flower and Female Buddha,Null,Date Unknown,Prints
Design of Flower Sprays and Butterflies,Null,Date Unknown,Drawings
Ryūrikyō Hanging Flower Basket (Ryūrikyō-shiki tsurioki hanakago),Japan,19th - 20th Century,Basketry
"[Horse-Drawn Flower Cart, New York City]",Null,Date Unknown,Negatives
"Fabric Design, abstract pattern with flower background",Null,Date Unknown,Drawings
"Fabric Design, abstract pattern with flower shapes",Null,Date Unknown,Drawings
"Fabric Design, flower and screen motif",Null,Date Unknown,Drawings
Letter-Box with Letter and Potted Flower,Japan,17th - 19th Century,Prints
Flower of Akashi (Akashi no hana),Japan,17th - 19th Century,Prints
Flower of Akashi (Akashi no hana),Japan,17th - 19th Century,Prints
Scissors for Flower Arrangement with a Bag,Japan,17th - 19th Century,Prints
Vase with flower and rock,China,17th - 20th Century,Ceramics
Vase with flower and rock,China,17th - 20th Century,Ceramics
Glass Fragment with Pressed Flower,Egypt,Date Unknown,Glass
Flower Basket (Hanakago) with Wide Opening,Japan,20th Century,Basketry
Song of the Daffodils Flower Basket (Hanakago),Japan,20th - 21st Century,Basketry
Helen Maitland Armstrong in a Flower Garden,Null,Date Unknown,Photographs
Design for Two Sèvres Porcelain Flower Pots,Null,Date Unknown,Drawings
Two Designs for a Flower Pedestal,Null,Date Unknown,Drawings
A Bush of Hydrangea in Flower,Null,Date Unknown,Photographs
"""Flower Vase #3""",Null,Date Unknown,Plastic
Dragon in the Clouds Flower Basket (Hanakago),Japan,20th - 21st Century,Basketry
Winter Grove (Fuyu no kodachi) Flower Container,Japan,20th - 21st Century,Metalwork
Moon Flask–Shaped Flower Basket (Henko-gata hanakago),Japan,20th Century,Basketry
Water Rail Flute Flower Holder (Hanaire),Japan,20th Century,Basketry
Fragment of a Stem of a Flower,Null,Date Unknown,Sculpture
Tile end with lotus flower,China,14th - 17th Century,Ceramics
Flower vase with animal-head handles,China,13th - 14th Century,Metalwork
[South Seas: Man with Flower in Hair],Null,Date Unknown,Negatives
Flat stamp with geometric flower,Mexico,Date Unknown,Ceramics
Sheet with overall flower and dot pattern,Null,Date Unknown,Prints
Bowl with five petaled flower,China,7th - 10th Century,Ceramics
Sake bottle with flower medallions,Japan,17th - 19th Century,Ceramics
Sleeping Away from Home Flower Basket (Hanakago),Japan,20th Century,Basketry
Wide-Mouthed Flower Basket (Hanakago) with Soaring Handle,Japan,20th Century,Basketry
Fence Flower Basket (Hanakago) with Handle,Japan,20th Century,Basketry
Flower Design: Daffodils and Calla Lilies,Null,Date Unknown,Drawings
Chinese-Style Flower Basket (Karamono hanakago),Japan,19th - 20th Century,Basketry
"Songs of Experience: My Pretty Rose Tree, Ah! Sun-Flower, The Lilly",Null,Date Unknown,Prints
Moon flask with pink flower motif,Null,Date Unknown,Ceramics
Dish with stylized flower scrolls,China,17th Century,Ceramics
Celestial Figure Emerging from a Flower,China,4th Century BCE - 11th Century CE,Sculpture
"A flower girl at a wedding, Conn.",Null,Date Unknown,Photographs
Actress holding flower bouquet (W423),Null,Date Unknown,Prints
Echo of Rain Flower Basket (Hanakago),Japan,20th - 21st Century,Basketry
Flower vase with dragon handles,China,13th - 14th Century,Metalwork
Portrait of a Lady Holding a Flower,Null,Date Unknown,Codices
Dish Depicting Two Birds among Flowering Plants,Turkey,Date Unknown,Ceramics
Wine Ewer with Chrysanthemums and Lotus Flowers,Korea,10th - 14th Century,Ceramics
Flower Basket (Hanakago) in the Shape of a Flower,Japan,19th - 20th Century,Basketry
Flower Pot with Stand (One of a Pair),China,18th Century,Cloisonné
Flower Pot with Stand (One of a Pair),China,18th Century,Cloisonné
Pair of flower vases (vases hollandois),Null,Date Unknown,Ceramics
Pair of flower pots (caisses carrés),Null,Date Unknown,Ceramics
Flower Pot (one of a pair),China,10th - 13th Century,Ceramics
Flower Vase with Stamped Design of Lotus,Japan,12th - 14th Century,Ceramics
Pendant in the form of a flower,Null,Date Unknown,Gold and Silver
Flower vase (cuvette à fleurs courteille),Null,Date Unknown,Ceramics
Hanging Flower Vase with Figural Design,Japan,17th - 19th Century,Ceramics
Sword guard (<i>Tsuba</i>) with Flower Basket Motif (花籠図鐔),Japan,Date Unknown,Sword Furniture-Tsuba
Sword guard (<i>Tsuba</i>) with Flower Basket Motif (花籠図鐔),Japan,Date Unknown,Sword Furniture-Tsuba
Carpet with Niche and Flower Design,Null,Date Unknown,Textiles
Pen Box (Qalamdan) with Bird and Flower Design,Iran,Date Unknown,Lacquer
The Actor Ogino Isaburō as an Itinerant Flower Vendor,Japan,17th - 19th Century,Prints
"[Interior with Fireplace Mantle, Flower Print Wallpaper, and Armchair]",Null,Date Unknown,Negatives
A Flower (in Sketch Book With Drawings on Twenty-six Leaves),Null,Date Unknown,Drawings
Black and White Print of Butterfly and Flower (a Pink),Japan,17th - 19th Century,Prints
Flower Arrangement of Suisen (Narcissus) in a Flat Green Dish,Japan,17th - 19th Century,Prints
Straw Basket for Fish (?) and Mokuge Flower,Japan,19th - 20th Century,Prints
Green and Yellow Stylized Flower for Wall Stencil,Null,Date Unknown,Drawings
Water jar in the shape of a flower,China,17th - 20th Century,Hardstone
Plate with Flower and Bird Decor,Japan,17th - 19th Century,Ceramics
A Tahitian Woman with a Flower in Her Hair,France,Date Unknown,Drawings
Examples of the Flower Arrangement (Meiji shinsen risshō senkashiki)  明治新撰千花式,Japan,19th - 20th Century,Illustrated Books
The Flower Girl (La Petite Marchande de Fleurs),Null,Date Unknown,Drawings
"A Radish Plant, Seed, and Flower",India,Date Unknown,Codices
Basket in the Form of a Flower Cart (Hanaguruma-gata hanakago),Japan,20th Century,Basketry
Vessel Lid: Bird Seated in Flower,Democratic Republic of the Congo,Date Unknown,Sculpture
Design for Panel Decoration Centered on a Passion Flower,Null,Date Unknown,Drawings
Design for a Porcelain Flower Bowl with Bronze Mount,Null,Date Unknown,Drawings
"[15 Stereographic Views of Terrace Flower Vases, Central Park, New York]",Null,Date Unknown,Photographs
"A Book on Flower Arrangement: Hare's-Foot Fern, Vols. 2 and 3",Japan,17th - 19th Century,Illustrated Books
Taxco Flower Girl - Birthday Party for H.C.,Null,Date Unknown,Drawings
"Vase with Daoist immortals, flower sprays, and dragons",China,17th Century,Ceramics
Taxco Flower Boy - Birthday Present for H.C.,Null,Date Unknown,Drawings
"A Woman Tying up a Curtain, a Flower Arrangement of Chrysanthemums in a Boat-shaped Hanging Vase, and Narcissus Arranged in a Flower Vase",Japan,17th - 19th Century,Prints
Necklace flowers,Null,Date Unknown,Gold and Silver
Necklace flowers,Null,Date Unknown,Gold and Silver
Flower Basket in the Shape of a Lily Bud (Yuri-gata hanakago),Japan,20th Century,Basketry
"Lotus, Rock, and Flower Study, after Chen Hongshou",Null,Date Unknown,Paintings
Pot with Flowering Plant,China,19th Century,Jade
Pot with Flowering Plant,China,19th Century,Jade
Stamp seal: standing noble holding a flower,Iran,3rd - 7th Century,Not Assigned
Velvet Fragment with Bird and Flower Design,Iran,Date Unknown,Textiles
Limestone bouquet of flowers,Greece,5th - 4th Century BCE,Sculpture
"[Bedroom with Hanging Light Fixture, Flower Print Wallpaper, and Decaying Ceiling]",Null,Date Unknown,Negatives
"[Interior with Radio, Flower Print Wallpaper, and Picture of Franklin Roosevelt]",Null,Date Unknown,Negatives
[South Seas: Woman with Flower Garland in Hair],Null,Date Unknown,Negatives
"[Concrete Building with Shell and Flower Pot Decoration, Florida]",Null,Date Unknown,Negatives
"[Workers Loading Flower Carts, From Above, New York City]",Null,Date Unknown,Negatives
Book cover with red geometric and flower pattern,Null,Date Unknown,Prints
Young Man (Wakashu) with a Miniature Flower Cart,Japan,17th - 19th Century,Prints
Rank Badge with Bird and Flower Motifs,Null,Date Unknown,Textiles
Shard:  Lotus Flower (Partial with Costume Fragment?),Null,Date Unknown,Ceramics
Ornament in the Shape of a Lotus Flower,Null,Date Unknown,Metalwork
Flower Vase with Stand; Dress Hanging on a Clothesrack,Null,Date Unknown,Prints
"Flower Vase in ""Crane's Neck"" shape",Japan,17th - 19th Century,Metalwork
Cup with a Flower and Bird Scene,China,17th - 20th Century,Horn
Dish in the shape of flower,China,7th - 10th Century,Ceramics
Pendant in the form of a flower bud,China,17th - 20th Century,Jade
Netsuke of Seated Man with a Flower Pot,Japan,17th - 20th Century,Netsuke
Sheet with six borders with vines and flower designs,Null,Date Unknown,Prints
Sheet with two borders with flower and leaf designs,Null,Date Unknown,Prints
Chinese-Style Flower Basket (Karamono hanakago) with Fish Ears,Japan,19th Century,Basketry
Jasper intaglio: Harcoprates seated on a lotus flower,Null,Date Unknown,Gems
"Young Girl with Long Braids and Pantalettes, Holding a Flower",Null,Date Unknown,Prints
Tray in the Shape of a Flower,China,18th Century,Enamels
Netsuke with Ivy and Flower Design,Japan,17th - 20th Century,Netsuke
Tile with water flowers in a canal,Egypt,13th - 11th Century BCE,Not Assigned
