Title,Country,Period,Classification,_ - description
Carved Horn Libation Cup,China,17th - 18th Century,"Tools, Equipment, and Utilitarian Objects","carved horn libation cup; in form of a Kikyo flower, the exterior decorated in designs of carved conventionalized dragons; carved wood base"
Suzani,Uzbekistan,19th Century,Textiles,"Linen wall hanging. Panel covered with all-over diaper pattern of red flowers and green leaves. medallion in center. Three borders, one wide and two narrow. Lined. Linen, embroidery."
"Covered jar, one of three",China,18th Century,Ceramics,"jar, one of three, inverted pear or baluster shaped; ornamental designs of underglaze blue; two panels with flower sprays between; the white originally covered with an all-over design in gold, but now mostly worn off; center of panel, in overglaze painting shows terra cotta basket of flowers and small separate sprays of flowers; band on shoulder and around lip of conventionalized designs in underglaze blue; fitted covers repeat motifs of body and are surmounted by 'Fu dog' finials, blue bodies on white legs; Chinese Export"
"Covered jar, one of a set of three",China,18th - 19th Century,Ceramics,"covered jars, set of three; each of four sides shows panels, large one on body, small ones on shoulder and neck; these panels display scenic landscapes in underglaze blue and white,(sea, temples, bridges, boats, figures, etc.); the spaces between panels partly filled with white stippling on the biscuit itself, and partly with elongated sprays of blue nd gold flowers; applied handles of dragons design; covers repeat motifs of bodies, and are surmounted with animal finials, blue covered with gold"
Snuff Bottle,China,17th - 18th Century,"Tools, Equipment, and Utilitarian Objects","Snuff bottles, pair of, black lacquer inlaid with design of birds and flowers in mother of pearl. Teakwood stands."
Mirror,United States,18th Century,Furniture,Rococo cartouche-shaped frame with pendant sprays of gilded flowers and leaves at side; top surmounted by basket of flowers between Rococo scrolls; a small gilt moulding edges mirror proper
Bilbao Mirror,Spain,18th Century,Woodwork,"frame of yellow-brown marble with slender pilasters at the sides, the whole enclosed in narrow band of partly-gilded wood; at top, a small rectangular and wooden painted panel enclosed in gilded frame, representing a monastary(?) surmounting this panel, a gilded basket of flowers with scrolls and festoons of leaves and berries; leaves and berries repeated at bottom"
"Hurricane shade, one of a pair",Null,19th Century,Glass,"hurricane shades, pair of; tall baluster-shaped, with folded flaring foot; frosted band around center, cut to the clear in a design of conventional grapevine, flowers and foliage; above and below this band is a band of engraved ellipses, in quatrefoil arrangement"
Portrait of Diana Mary Barker,United States,18th Century,Paintings,"Portrait of Diana Mary Barker. Young woman turned three-quarters toward the spectator, with dark eyes straight ahead, raises left hand to pick a small pink flower growing in a pot; in the other, she holds some pink roses. Blue and gold striped ribbon, barely discernible, wound about dark hair. Fair complexion, aquiline nose. Greyish-tan dress, full elbow-length sleeves and undersleeves caught up with pearls and blue ribbon. Grey and gold striped scarf draped around neck; blue and gold striped belt with gold fringe. Double strand of pearls caught loosely about base of throat."
Rug,Turkey,17th Century,Floor Coverings,"Rug, Ferraghan, the field is caovered with a Herati pattern on a blue ground. Five borders; the main one, very wide, carries a shield design with star shape in center connected by angular vines with latch hooks at the turn. This is flanked by narrow borders with the pear design. The outer border has flower and knap on a yellow, beige ground. Sides overcast with dark wool. One end has a narrow web turned back, the other a fringe of short warp threads. Senna Knot. Cotton warp and woof."
(Small Box in the Shape of a Firefly Cage),Japan,19th Century,Lacquer,"Toilet box in shape of casket, cover with metal handle, inside decorated around and on top of a fitted tray with flower sprays. Aventurine and gold. Cover mottled gold and black with crescent moons."
Covered box,Japan,19th Century,Lacquer,"Oblong box with scalloped edges. Flowers, insects on top and sea animals inside in relief, and incrusted pearl. Signed on bottom."
(Small Box with Landscapes),Japan,19th Century,Lacquer,"Double box with tray inside. Fine black and gold lacquer. sides and top decorated with flowers and a river flowing between hills. Top of tray represents a landscpae, temples, mountains, etc. Bottom and inside of box of bronze lacquer."
(Small Box in the shape of a Rolled Bamboo Blind),Japan,19th Century,Lacquer,"Box, in form of partly unrolled kakemono. Exposed part displays red flowers and gold leaves in low relief against gold background. The 'brocade' is gold and green. Below is geometrical design in red and gold. The 'ribbons' are in gold low relief."
"Portrait of Woman, called Lucy Percy, Countess of Carlisle",Netherlands,17th Century,Paintings,"Portrait of a woman in a green dress and brown scarf with flowers in her hair, pearl necklace and earrings, at a fountain."
Ewer,China,19th Century,Ceramics,"ewer; long cylindrical neck shows sprays of flowers; band of flowers forms border of neck and repeat motif (white circles within blue hexagons) reappears on slightly projecting lip; curved blue handle in shape of dragon, head turned backward, jaws wide open; (upper part of jaw broken)"
Rug,Null,19th Century,Floor Coverings,"Rug, so-called 'dragon' type; dark blue field witrh geometrical floral and leaf designs, hook and 'S' shapes in blue, green, red and white. Two borders seperatews by a barber pole guard stripe. The outer stripe has a geometrical flower and knop pattern connectedd by vines on an ivory field. The innner border is of wine glass design on a rose field. Selvedged with cotton, short warp fringe at each end. Closely woven with nap cut very short. Ghiordes knot. Woolen warp; cotton woof."
"Covered jar, one of a pair",China,18th Century,Ceramics,"One of a pair of covered jars, inverted pear or baluster-shaped. White ground with applied low relief decoration of leaves, stems and berries in overglaze (or enamel) red, aubergine, green and gold; these form panels in the center of which front and back, is a basket of flowers, butterflies and sprigs of roses. Sprays of flowers between panels. On shoulders, four overglaze terracotta mice,high relief. Fitted covers with low relief flowers as on body, and surmounted with gold, white and terra cotta. 'Fu Dog' finials."
Coffeepot,United States,18th Century,Metalwork,"coffee pot, vase-shaped with long spout and 'S' scrolled handle; base of spout decorated with leaf motif; engraved crest on body: body engraved on one side with a crest composed of a heart-shaped shield charged with a lion Rampant, ensigned by a cock and draped with delicate sprays of flowers"
"Bowl with diamond, floral, and vegetal design",Iraq,8th - 13th Century,Ceramics,"Bowl, Abbasid dynasty, early Islamic Samarra type, shallow, with rounded sides and flattened, outturned rim. Greyish pottery with opaque greyish white glaze painted in dark blue with a formal design consisting of an eight-petaled opaque flower within a diamond, which is within a square, the four corners of which are held out by an opaque three-pronged design with a long leaf. Low foot. Rey excavation. Broken and mended."
Bowl,Iraq,9th - 10th Century,Ceramics,"Bowl, early Islamic Samarra type, with rounded sides and slightly flattened out-turned rim. Greyish white glaze painted in darkish blue with conventional design consisting of eight-petaled opaque flower within the six-pointed median star, the whole enclosed within a six-scalloped circle. Broken and mended. Rey excavation."
Bowl with abstract (Anthropomorphic?) design,Iraq,8th - 13th Century,Ceramics,"Bowl, Abbasid dynasty, early Islamic Samarra type, with rounded sides and flattened, out-turned lip. Greyish pottery with opaque greyish white glaze, painted in light-dark blue with conventionalized design consisting of two highly stylized flowers(?)(double Pomgranates?) joined at the base, within a garland resembling laurel. Low foot. Broken and mended. Rey excavation."
Awaiting the Chase,Belgium,17th Century,Textiles,"Set of four tapestries, with landscape scenes and figures inspired from the Hunts of Maximilian, now in the Louvre and woven after the cartoons of Bernard Van Orley, also preserved in the Louvre. Woven at sides with bases sustaining figures of putti and decorated with ram's heads. Embellishment of festoons, pendant bunches of fruits and flowers. Top border with scrolled, oblong cartouche in center, which contains a miniature landscape scene, supported by winged cherubs. Similar cartouche, with swags of fruit and flowers in bottom border. .1 Awaiting the Chase In the immediate foreground trwo huntsmen, one of whom reclines against a tree and caresses a hound. The hunters wear short doublets and broadrimmed hats. Hunters' horns are slung over their shoulders.; warp undyed wool, 7-8 ends per cm., weft dyed wool and silk, 24-40 ends per cm."
Women Hunting the Fox,Belgium,17th Century,Textiles,"One of set of four tapestries, with landscape scenes and figures inspired from the Hunts of Maximilian, now in the Louvre and woven after the cartoons of Bernard Van Orley, also preserved in the Louvre. Woven at sides with bases sustaining figures of putti and decorated with rams' heads. Embellishment of festoons, pendant bunches of fruits and flowers. Top border with scrolled, oblong cartouch in center, which contains a miniature landscape scene, supported by winged cherubs. Similar cartouche, with swags of fruit and flowers in bottom border. Hunting the Deer Rolling countryside with sturdy elm at left. In immediate foreground a huntsman holding spear and sounding horn, in middle distance one of his companions on horseback and another on foot, pursue the deet who advances towards the left.; Warp undyed wool, 7½-8 ends per cm., waft dyed wool and silk, 24-28 ends per cm."
Hunting the Hare,Belgium,17th Century,Textiles,"One of set of four tapestries, with landscape scenes and figures inspired from the Hunts of Maximilian, now in the Louvre and woven after the cartoons of Bernard Van Orley, also preserved in the Louvre. Woven at sides with bases sustaining figures of putti and decorated with rams' heads. Embellishment of festoons, pendant bunches of fruits and flowers. Top border with scrolled, oblong cartouche in center, which contains a miniature landscape scene, supported by winged cherubs. Similar cartouche, with swags of fruit and flowers in bottom border. Hunting the Hare In immediate foreground a bearded huntsman, wearing a crimson cap, a blue doublet with half armor and short trunks, holds a spaniel in leash. He runs towards left where two hounds pursue the hare up a hill. In middle distance another huntsman, with spear, holds off two other hares.; warp undyed wool, 8-8½ ends per cm., weft dyed wool and silk, 24-36 ends per cm."
Panel,Italy,15th Century,Textiles,"Piece of red and gold velvet of bold rounded pomegranate design, the serpentine bands of velvet and center sections of pomegranate flower ornamented with loops of gold thread. Edged top and bottom with red and gold fringed braid. Lined with cerise taffeta, pieced once lengthwise. Gold threads worn off, broken, or loosened more or less throughout, but especially at edges and lower center."
Brush Washer,China,18th Century,"Tools, Equipment, and Utilitarian Objects","Brush Washer. Bowl of celadon jade carved with flowers, leaves, and bamboo in high relief; incised foliate design on body of bowl which has a shaped rim."
"Portrait of Anika Psalmon, Mrs. Robin",France,19th Century,Paintings,"Portrait of a woman. The subject faces the spectator, the left arm resting on the back of a side chair. Black satin gown, deep lace collar and cuffs. Black lace scarf draped over back of head, red flower in hair."
Pillar print,England,19th Century,Textiles,"Toile, fragment of polychrome print in a large scale design of a column decorated with urns filled with flowers and flanked with a row of flower baskets and floral sprays. Blue, yellow, pink, green and yellow on cocoa-colored ground."
Shawl,Iran,19th Century,Textiles,"shawl, doshalla (long shawl) finely woven of olive green with design of rambling floral sprays and leaves in green, rose, yellow, orange, blue outlined in embroidery stitch; two borders on ends, the wide outer one composed of vari-colored stripes alternating with olive green, all with Mihrab tops enclosing single flowering plants; lined at one end with strip of black cotton, and furnished at one end with brass rings for hanging, fringed ends, narrow border on sides"
Set of four bowls and two cups,China,18th Century,Enamels,"Set of six cloisonné bowls of various sizes, lined in mercurial gold plate, and decorated on outside with large single floral motifs in red, blue, green, and yellow on blue ground. Alternating with flowers are Chinese characters in gold on dark blue medallions. Gold meander pattern, ending in reversed dragons' heads and derived from Shang bronze decor, around rim. these bowls part of a ceremonial dinner set made for Chien Lung and having on the bottom of each bowl characters indicating presentation to him."
Page from the Manafi al-Hayavan,Iran,14th Century,Paintings,"Miniature, 'The Stag' with inscription and page-long overleaf. Painted shortly after the Mongol invasion, the Chinese influence is strong in the treatment of the clouds above the stags, and in certain details of the flowers. The page is from a dispersed Manafi al-Hayavan (on the uses derived from animals). The painting is the counterpoint to Byzantine painting."
Basket,United States,20th Century,Basketry,"miniature basket, with flared sides; finely coiled; design consists of a flower with four spade-shaped petals which fill the sides; the flower is natural color against a brown background"
Edging,Belgium,18th Century,Textiles,Strip of Point d'Angleterre a reseau with an undulating pattern of leaves and flowers interrupted by sprays of flowers filled in with simple diaper modes.
Edging,France,18th Century,Textiles,Strip of Point d'Alencon with a design of floral sprays baskets of friut and flowers.
Frontal for a Buddhist altar,Tibet,19th Century,Textiles,"Hanging of embroidered imperial yellow satin with an upper valance of brocaded red satin. The central design of the lower portion shows the Yin and Yang symbol emerging from a lotus flower. In the field on either side are large lotus blossoms and trailing branches. The colors include shades of blue, green, coral, mulberry, pink, yellow and tan. Chiefly satin stitch and couching. The brocaded valance carries a row of hanging lanterns with mystic symbol pendants in shades of brown and tan. Around the edge, and separating valance from main field is a band of black satin embroidered with running floral pattern in shades of blue. Lining of yellow cotton. NoteA.P. thinks brocade may be later than early 18th century."
Pictorial Hanging,China,19th Century,Textiles,"Picture panel of pale apricot satin with self diapered ground embroidered in shades of blue, green, pink, yellow, rust, red, and black applique. The design represents an emperor and an empress with their attendants. In the background are large sprays of lotus. Border of black satin embroidered with flowers and symbols in colors and gold. The applique motifs are done chiefly in satin stitch, but couched, knot, chain, and laid stitches also used. Lining of course orange gauze. Note dragon design of emperor's robe; phoenix design of Empress'."
Woman’s Formal Hat (Feng-Kuan),China,19th Century,Accessories,"Headdress of woven black satin strips covered with birds, flowers and other motifs modelled of kingfisher feathers, pearl,coral, tourmaline, and other beads. Cf.42.8.328,329"
Women’s Formal Hat (Feng-Kuan),China,19th Century,Accessories,"Headdress of woven strips of red velvet covered with phoenix and flowers modelled from kingfisher feathers, coral, pearl, tourmaline and other beads."
A King Picnicking in the Mountains,Iran,16th Century,Paintings,Miniature from a Nizami Manuscript depicting a King on a picnic with an animated group of courtiers in vivid costumes. The scene ia a rocky landscape with flowering shrubs and trees whose branches project into the side and top borders. Two small panels of inscription inset at top right and lower left.
Two Youths under a Flowering Tree,Iran,15th Century,Paintings,Miniature depicting two youths under a flowering tree. In the background a lavender hill with trees and a shrub with crimson flowers. One branch of the tree projects beyond the margin. Two columns of script below the painting and one passage inset at upper right.
Panel,France,18th Century,Textiles,"Panel of faded salmon-colored satin brocaded in colors and silver with a bold design of paired scroll brackets, from which depend flowers and fruits, bearing blue and white Chinese vases of flowers. The background for these motifs is formed by closely spaced diagonal bands of silver representing ribbons. Border of fine silver galloon of diagonal volute and scroll design. The panel is made up of one long and two narrow strips seamed horizontally. Lining (pieced and stained) of yellow silk. Woven fabric"
"One of the Three Magi on a ""Millefleurs"" Ground",Belgium,16th Century,Textiles,"Tapestry. On a mille-fleur ground a knight wearing a sword and a surcoat, probably of velvet, with a design of large flowering pomegranites on a serpentine band. He carries a chalice in his right hand and a jewelled coronet in his left. Plain narrow red border badly worn. Some restoration. Partially lined with white cotton."
Springtime of Life,France,19th Century,Paintings,"Girl with flowers in landscape Youth, adolescence, ""Iuventus"""
"Hairpin, one of a pair",China,18th Century,Adornment,"one of a pair of hair ornaments, dragonfly (symbol of Summer), .1 has lotus flower, filigree, all stones lost; gold."
Sauce boat,France,18th Century,Ceramics,"oval faience bowl with scalloped edge; rim decorated in brown; twisted branches entwining rocaille scroll-form handles; both interior and exterior are decorated with roses, tulips, cowslips and other small flowers; lip at either end decorated with rococo scrollwork and stripes"
Covered tureen,France,18th Century,Ceramics,"Beyerle period covered faience tureen; lid finial of lobster, mushroom and leeks; decoration of flowers in delicate rococo style all over body"
Plate,France,18th Century,Ceramics,"faience soup plate of lobed octagonal shape; rim edged with green-brown glaze; chinoiserie scene in center; edge of plate is completed with the application of small sprays of flowers of the indianische blumen type; reverse shows double set of stilt marks, typical of petit feu wares"
Soup tureen and stand,France,18th Century,Ceramics,"large four-footed bombe faience tureen; all-over rocaille decoration in carmine, blue-yellow and brown; large rococo scrolls form handles on both ends; lid in shape of large leaf, divided into four quadrants, where small sprays of flowers are found; faience platter with carmine and yellow edge matching tureen; center contains one large carmine rose, and three small sprays of flowers"
Compote,France,18th Century,Ceramics,oval-shaped shallow bowl painted with a central tied-flower spray within a border of foliage scrolls and flowers suspending drapery; supported on four dolphin and female mask legs resting on an oval-shaped stepped base with stylized flowers and foliage
Plate,France,18th Century,Ceramics,"deep faience plate of fluted hexagonal shape; rim edged with green-brown glaze; center of plate contains chinoserie motif of a standing flower with a walking stick; flowers of Indianische Blumen type encircle plate edge; on reverse, two sets of stilt marks visible; colors are blue, yellow and green"
Saucer,China,18th Century,Ceramics,"Saucer, hardpaste porcelain; white ground, sprigs of flowers, coat of arms in center topped with stags head and mottoDUM SISTO VIGILO."
"Vase of Flowers, formerly The Horticulturalist",Belgium,19th Century,Paintings,Still life. Vase of flowers.
"Girl by a Stream, Flanders",United States,19th Century,Paintings,"Genre. Female in a landscape standing by a stream, holding a scythe. Next to her is a large burlap sack of flowers and grasses."
Ewer with Koran Inscription,Iran,12th Century,Ceramics,"Ewer, large, with blue and white decoration of conventionalized flowers and Koranic inscription. Surface has silver irridescence."
Nude on a Couch,France,19th Century,Paintings,Nude female figure lying on a flowered couch
Roses,France,19th Century,Paintings,"Still life, flowers"
Portrait of Abigail Gowen,United States,18th Century,Paintings,"Half-length portrait painted in 1763. Her auburn hair is brushed back from her forehead and tied at the back of her neck with a white satin bow. A small bouquet of blue and white flowers with a white gauze bow is pinned on top of her head. Her dark eyes are directed to the spectator. She wears an olive green silk dress, the neck cut low and trimmed with a narrow white muslin ruffle and a bow of white satin ribbon is fastened at her breast. The sleeves with three long ruffles of the same material as the dress are of elbow length with a ruffle of white muslin (taken from 'Checklist of Portraits of Children painted by Joseph Badger,' 1923)."
Chest on Chest,United States,18th Century,Furniture,"American carved Chippendale mahogany chest-on-chest, upper molded swan neck cresting having sunflower terminals and fitted with two carved flaming finilas lain in leaf and center with brass ball and convex shell and flanked by scrolling leafage; the unusual part of this design is that the swan necks extend to the back of the chest; the hardware is replacement as apparently there were knobs instead of handles for pulls a-top; b- bottom; cde top small drawers; fghijkl- large drawers top to bottom"
Vase of Flowers,France,20th Century,Drawings,Vase of flowers on a table with sofa in the background
Bandolier Bag,United States,20th Century,Accessories,"straps: all over applique beadwork in floral motif on crystal ground; beaded on muslin. Bag: upper panel of applique beadwork flowers on black velvet; center panel of loomed beadwork in floral pattern on a white ground; ""memory tabs"" at bottom of bag with wool yarn tassels"
Bowl with Stamped Comb Design and Flowers,Korea,15th Century,Ceramics,"Mishima Bowl; all-over comb motif with five flowers in interior and band of flowers circling sides; pottery with grey glaze, stoneware"
Wine Cup with Stand,Korea,12th - 13th Century,Ceramics,cup and footed saucer on lotus flower platform which holds lotus-shaped cup; underglazed floral patterns on both cup and saucer
Bowl,China,12th - 13th Century,Ceramics,"bowl ; hemispherical, with shallow ringed foot; interior incised underglaze of lotus flowers; sea green glaze, celadon"
Bowl,China,11th - 12th Century,Ceramics,"Tzu-Chou ware Bowl cylindrical, on ring foot; buff glazed interior and brown and white exterior with band of flowers and eight recessed dots above; stone ware"
Ewer in the Shape of a Melon,Korea,12th Century,Ceramics,"covered wine ewer melon-shaped with curved spout and handle simulating bamboo; motif of peonies, lotus flowers and vines; grey-green celadon glaze and cream underglaze; porcelaneous ware with incised decor under celadon glaze"
"Portrait of Catherine Coustard, Marquise of Castelnau, Wife of Charles-Léonor Aubry with Her Son Léonor",France,17th - 18th Century,Paintings,"Portrait. Madame Aubry wears an ultramarine blue velvet dress, cloak lined with flowered brocade and a bodice of silver lamé with lace and rose ribbon. Her hand touches a whippet which may have belonged to the artist as it appears in other portraits. Her hair is styled à la Fontanges. She married into a family from Tours and later became the Marquise de Castelnau in the Berry region near Bourges."
Rug,Iran,19th - 20th Century,Floor Coverings,"rug, garden type withflowering trees in beige, peach, red, green on a dark blue background; 3 floral borders of which center and widest is predominantly dark blue; wool on cotton warp, Senna knot; wool on cotton warp"
Embroidered Mirror Frame,England,17th Century,Textiles,"scalloped walnut frame with royal figures, flowers petals, animals, fashioned in raised needlework in cream satin ground; Carolean stitchery, lace stitch, silk and metallic thread; mirror and frame encased in antique vitrine. , n.b. This work appears to be made up of several pieces of stumpwork rather than having been originally conceived as a single work"
Clytie,United States,19th Century,Sculpture,"full bust, undraped, head turned half-left with gaze in same direction, slightly downward. The figure terminates just below the breasts by means of a shallow, saucer-like border with reeded edge and is attached to a circular socle. The hair is dressed with a small sunflower, symbolizing the allegory."
Tureen,United States,19th Century,Metalwork,lidded tureen with bulbous body with melon reeding which is repeated on the cover; band of cast and chased flowers and leaf motifs at rim of tureen and base of foot; leaf motifs chased and in repoussé at base; lid has flowers and leaf design in repoussé within melon reeding; cast finial of basket of fruit; scroll handles with cast and chased leafage
Baluster Vase,China,17th - 18th Century,Ceramics,"Baluster vase, famille verte, rouleau design decorated with reserves enclosing song birds, flowering branches, butterflies."
Bowl,China,18th Century,Ceramics,"Bowl, porcelain, light blue underglaze, Ching Dynasty, Yung Cheng period (1723-35). On exterior flowering plants and garlanded scrolls. Floral spray with surrounding bands of stylized floral motifs inside. Six character Yung Cheng mark within double circle on base."
Bowl,China,17th - 18th Century,Ceramics,"Wan-li mark (1573-1619), but K’ang-hsi period (1662-1722) One of a pair of bowls (83.113.5-6); porcelain, underglaze blue decoration of flowers in pots on outside, geometric bands near top of inside, four character Wan-li marks."
Point Neck Vase,China,16th - 17th Century,Ceramics,"One of a pair of Point Neck Vases, porcelain, underglaze blue decor of flowers (83.113.7-8)"
Chrysanthemum,Netherlands,20th Century,Drawings,white flower against brown background
Panel,France,18th Century,Textiles,"Panel, silk brocade. Red ground with design of flower baskets hung from ribbons, trailing morning glory vines, alternating with floral wreaths enclosing pairs of doves. Designed for Catherine II, Empress of Russia. Formerly at Tsarkoe Selo near St. Petersburg, removed before 1917. Other panels in collections of Musee des Arts Decoratifs, Paris, and Musee Historique des Tissus, Lyons."
Plate,China,18th Century,Ceramics,"Three Plates, Chinese Export, porcelain painted in underglaze blue with European flowers including an iris surrounded by a strapwork border, traces of gilding."
Flower Painting,China,18th Century,Paintings,leaf from a small album of flower paintings; white daffodil-like flowers with yellow centers at right; fungus left of flowers; single column of calligraphy lower left with 2 red seals below
Bowl,China,10th - 13th Century,Ceramics,"bowl, porcelain, grey green celadon; impressed underglaze design of scrolling flowers."
Hexafoil Box,China,18th Century,Lacquer,"hexagonal Box with lid, red lacquer. Flat top incised with two phoenix in flight among flowering peonies on a cell pattern ground; sides with shaped reserves of confronting dragons on key fret ground. Qianlong six character mark."
Quilt top,United States,19th Century,Textiles,"quilt top, about 1825, homespun cotton, block printed; central design of meandering flower vine, framed by an inner grape vine border with an outer border of flower vases and swag decoration; red, green, yellow blue and terra cotta"
Tripod Censer,China,2nd Century BCE,Ceramics,"Tripod Censer, grey earthenware with molded and impressed decor. Molded lion mask handles and legs, alternate bands of lappets and flower heads impressed around globular body."
Jewelry box,Italy,18th Century,Furniture,"oak veneered with ebony, mounted on all four sides and lid with rectangular slate plaques inlaid with lapis, agate, and marble; design of flowers tied with ribbons, a parrot and butterflies, ormolu leaf sprays on sides, corners have female masks in agate with ormolu ribbons"
Plate,Thailand,15th Century,Ceramics,porcelaneous stoneware with underglaze brown flower petal decor
"Plate, one of a pair",China,18th Century,Enamels,"pair of plates, copper with Peking enamel, wide flanged borders painted in lavendar with four shaped panels of flowers and fruits reserved in lemon yellow and four small medallions of stylized dragons in black and white; the central motif is flowers with a pair of butterflies on white background; the images on each plate mirror one another."
By The Wayside,United States,19th Century,Photographs,cluster of wildflowers against a rustic wood fence; green hue to image
Panel,Italy,18th Century,Textiles,cut and uncut velvet panel with flower heads and foliage designs.
Basket,United States,20th Century,Basketry,Birchbark basket with flower and star motif
Belt buckle and anklets,Morocco,19th Century,Metalwork,"91.141.8a: Metal belt buckle back side has four vertical supports to the top which is a curved elliptical shape. Top is incised with two ""appliqué"" birds, two six pointed stars with a large six pointed star/flower in the center."
Goose,China,16th Century,Sculpture,"the boulder with unusual color used in the carving, the goose with head sharply turned, shown enveloped in lotus plants, with one large leaf using the green color of the stone and several flowers using the russet markings, on a carved base of swirling waves; carved of gray-green stone with brown markings. Former Classification: Jade"
