File,_ - accession_number,_ - artist,_ - title,_ - country,_ - dated,_ - description,_ - id,_ - style,_ - classification
19028.json,66.25.123,,Studies of Five Flowers (Tab: No. 13),Netherlands (?),18th century (?),,http://api.artsmia.org/objects/19028,18th century (?), Drawings
19030.json,66.25.125,Artist: Carolinn Gesinglinn; Artist: after Roubillac,Ewer with Garland of Flowers Twined About It,Germany,1801,,http://api.artsmia.org/objects/19030,19th century, Drawings; Works on Paper
19050.json,66.25.120,,Flower Studies (Tab: No. 10),Netherlands (?),17th or 18th century,,http://api.artsmia.org/objects/19050,17th or 18th century, Drawings
19056.json,66.25.113,,Basket of Flowers,Netherlands (?),17th century,,http://api.artsmia.org/objects/19056,17th century, Drawings
19071.json,66.25.298,Artist: Anais Colin Toudouze,Two Women Picking Flowers,France,19th century,,http://api.artsmia.org/objects/19071,19th century, Drawings
19135.json,66.25.35,Artist: attributed to Carle Vernet,"Hair à la Titus, Decorated with Flowers, Ball Gown",France,1808,,http://api.artsmia.org/objects/19135,19th century, Drawings
19192.json,66.25.249,Artist: Jules David,A Woman and Four Children Picking Flowers,France,1878,,http://api.artsmia.org/objects/19192,19th century, Drawings
19205.json,66.25.251,Artist: Jules David,Two Women in a Flower Shop,France,1878,,http://api.artsmia.org/objects/19205,19th century, Drawings
19427.json,69.133.2.4,Photographer: Edward Steichen,Dawn-Flowers,United States,printed 1903,,http://api.artsmia.org/objects/19427,20th century, Photographs
19452.json,"68.41.20.3a,b",,"Flower vase with insert, one of a pair",France,19th century,"garniture, Empire",http://api.artsmia.org/objects/19452,Empire, Metalwork
19457.json,"68.41.20.4a,b",,"Flower vase with insert, one of a pair",France,19th century,"garniture, Empire",http://api.artsmia.org/objects/19457,Empire, Metalwork
20082.json,74.1.306,Artist: Bun'ō,Dragonfly and Flowers,Japan,1840s,red dragonfly sitting on tip of a leaf with pink flowers below it; large green leaf in UL edge,http://api.artsmia.org/objects/20082,19th century, Prints
21779.json,"78.10a,b",Workshop: Louis Comfort Tiffany,Flower Bowl,United States,c. 1900,"flower bowl, favrile glass; iridescent with design of water-lily leaves on inside of bowl",http://api.artsmia.org/objects/21779,19th-20th century, Glass
21879.json,78.69.6.3a-c,Artist: Unknown Japanese,Pipe with design of autumn flowers,Japan,19th century,"pipe in 3 pieces; soft metal with gold applique mouthpiece and bowl, bamboo stem",http://api.artsmia.org/objects/21879,19th century, Accessories
22350.json,81.113.2.2,Artist: Shibata Zeshin,Spring [right of a pair of Birds and Flowers in Spring and Autumn],Japan,second half 19th century,,http://api.artsmia.org/objects/22350,19th century, Paintings
22382.json,81.113.2.1,Artist: Shibata Zeshin,Autumn [left of a pair of Birds and Flowers in Spring and Autumn],Japan,second half 19th century,,http://api.artsmia.org/objects/22382,19th century, Paintings
22410.json,80.90.2,,Pair of Ducks and Flowers,China,1644-1912,With calligraphy,http://api.artsmia.org/objects/22410,17th-20th century, Paintings
22453.json,81.133.124,Artist: Katsushika Taito II and two other artists; Publisher: Izumiya Ichibei,"Horse, Bamboo, Flower",Japan,early 19th century,harimaze,http://api.artsmia.org/objects/22453,19th century, Prints
22684.json,81.133.271,Artist: Yamada Hōgyoku,"Fish in Bowl of Water, Flowering Branch with Fruit",Japan,1830s,,http://api.artsmia.org/objects/22684,19th century, Prints
22739.json,81.133.295,Artist: Yamada Hōgyoku,Large White Flower,Japan,1830s,,http://api.artsmia.org/objects/22739,19th century, Prints
22743.json,81.133.299,Artist: Yamada Hōgyoku,Camellia Flower and Bud,Japan,1830s,,http://api.artsmia.org/objects/22743,19th century, Prints
22812.json,81.2.7.1,Artist: Shibata Zeshin,Flower Studies [one of a pair],Japan,second half 19th century,,http://api.artsmia.org/objects/22812,19th century, Paintings
23866.json,83.110.23,Artist: Gendron Jensen,Suffering Truly Deepens as Sweetness Which Gestures in Flowers!,United States,1954-1983,nine laminated photographs collaged together with inscription,http://api.artsmia.org/objects/23866,20th century, Drawings
24627.json,85.2.2,Photographer: Serge Hambourg,"Flower Market, Pescia, Italy",United States,1981,,http://api.artsmia.org/objects/24627,20th century, Photographs
27187.json,90.92.42,Designer: William Gray Purcell; Designer: George Grant Elmslie,"Wildflower Window, Purcell-Cutts House",United States,c. 1913,writing nook window panel,http://api.artsmia.org/objects/27187,20th century, Glass; Architecture
28304.json,93.82.4,Artist: Joseph Stella,Flowers in a Glass,United States,1937,,http://api.artsmia.org/objects/28304,20th century, Drawings; Works on Paper
28923.json,95.91.1.1,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28923,18th century, Paintings
28924.json,95.91.1.10,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28924,18th century, Paintings
28925.json,95.91.1.11,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28925,18th century, Paintings
28926.json,95.91.1.12,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28926,18th century, Paintings
28927.json,95.91.1.2,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28927,18th century, Paintings
28928.json,95.91.1.3,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28928,18th century, Paintings
28929.json,95.91.1.4,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28929,18th century, Paintings
28930.json,95.91.1.5,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28930,18th century, Paintings
28931.json,95.91.1.6,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28931,18th century, Paintings
28932.json,95.91.1.7,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28932,18th century, Paintings
28933.json,95.91.1.8,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28933,18th century, Paintings
28934.json,95.91.1.9,Maker: Zhang Yu,Bird and Flower,China,18th century,one of a set of 12 hanging scrolls; the first and twelfth scrolls have three lines and partial images of plants; ten scrolls have images of various plant life and birds,http://api.artsmia.org/objects/28934,18th century, Paintings
28936.json,95.92,,Altar Flower Vase,China,18th century,"tear drop body on ringed foot, long tapering neck with trumpet-shaped mouth; two dragons back to back form handles at middle of neck",http://api.artsmia.org/objects/28936,18th century, Metalwork
29011.json,95.82.17,Photographer: Lewis W. Hine,Family Making Artificial Flowers,United States,1908,,http://api.artsmia.org/objects/29011,20th century, Photographs
29732.json,97.188.3.18,Photographer: Clarence Kennedy; Publisher: Smith College,"Urn, Foliage, Flower and Tendril Near Upper Left Edge",United States,c. 1928,jagged-leafed flowering plant and twisting flowering tendril at right; mounted on stiff paper,http://api.artsmia.org/objects/29732,20th century, Photographs
29753.json,97.31,Artist: Yamamoto Shōun,Woman Gathering Autumn Flowers,Japan,c. 1920,Large tear in center of painting- see loan record,http://api.artsmia.org/objects/29753,20th century, Paintings
30856.json,98.255.1,Artist: Unknown Japanese,Small plate with decor of flowers and butterfly,Japan,1890s,"Gold rim with raised designs; spray of large flowers with raised gold outlines and green, brown, and red highlights; butterfly at left; gold dots throughout background",http://api.artsmia.org/objects/30856,19th century, Ceramics
30969.json,98.97.1,Photographer: Gilles Peress,Untitled (clear plastic body bags seen through a flowering tree branch),France,1993,clear plastic body bags seen through a flowering tree branch,http://api.artsmia.org/objects/30969,20th century, Photographs
30970.json,98.97.2,Photographer: Gilles Peress,Untitled (clear plastic body bags seen through a flowering tree branch),France,1993,clear plastic body bags seen through a flowering tree branch,http://api.artsmia.org/objects/30970,20th century, Photographs
31244.json,99.174.1,,Flower Vase,China,12th-13th century,long trumpet neck; depressed globular body on a splayed foot ring; countersunk base; glazed russet brown and bluish-black,http://api.artsmia.org/objects/31244,12th-13th century, Ceramics
31269.json,99.176.8,Maker: Gao Qipei,Flower-and-Bird Finger Painting from an Album of Ten Leaves,China,1684,white swooping bird at center; curving flowering branch at top and right,http://api.artsmia.org/objects/31269,17th century, Paintings
31438.json,99.214.1,Maker: Kim Eun-Ho,Flowers and Birds,Korea,20th century,2 swimming mallards with rocks covered with turquoise flowers at R; bamboo and plant with pink blossoms behind,http://api.artsmia.org/objects/31438,20th century, Paintings
31471.json,99.217.120,Artist: Unknown Japanese,Flowers,Japan,20th century,,http://api.artsmia.org/objects/31471,20th century, Accessories
31473.json,99.217.122,Artist: Unknown Japanese,Artist Painting a Potted Flowering Tree,Japan,20th century,,http://api.artsmia.org/objects/31473,20th century, Accessories
31546.json,99.217.187,Artist: Unknown Japanese,"Triangular Prism, Three Flowers on Sides",Japan,20th century,,http://api.artsmia.org/objects/31546,20th century, Accessories
31635.json,99.217.267,Artist: Unknown Japanese,Netsuke [Hollow Flower],Japan,20th century,,http://api.artsmia.org/objects/31635,20th century, Accessories
31652.json,99.217.282,Artist: Unknown Japanese,"Netsuke [Lady with Long Hair, Carrying a Flower]",Japan,20th century,,http://api.artsmia.org/objects/31652,20th century, Accessories
31665.json,99.217.294,Artist: Unknown Japanese,Netsuke [Flower],Japan,20th century,hollow center,http://api.artsmia.org/objects/31665,20th century, Accessories
31667.json,99.217.296,Artist: Unknown Japanese,Flower Basket,Japan,20th century,,http://api.artsmia.org/objects/31667,20th century, Accessories
31846.json,99.227.1,Photographer: Forman G. Hanna,Untitled [seated nude picking a flower],United States,20th century,"nude young woman with bobbed hair, seen from PL side; seated in front of rocks, leaning on PL hand and picking flower with PR hand",http://api.artsmia.org/objects/31846,20th century, Photographs
33535.json,2002.182.10,Photographer: Joan Moss,"Lady and Flower, Rolling Meadows, Illinois",Canada,1981,"close-up of woman with short blonde hair and very heavy eye makeup, wearing a carnation behind her PL ear and a lei around her neck and holding a plastic cup in her PR hand; man at L",http://api.artsmia.org/objects/33535,20th century, Photographs
33817.json,2000.269.1,Artist: Unknown Korean,Paired Birds and Flowers,Korea,early 20th century,"paintings of birds, foliage and water; predominant greens, blues and oranges",http://api.artsmia.org/objects/33817,20th century, Paintings
35197.json,2004.52.10,Artist: Minagawa Masu,(Flowering Plum),Japan,c. 1950,,http://api.artsmia.org/objects/35197,20th century, Drawings
35201.json,2004.52.3,Artist: Minagawa Masu,(Flowering Fern),Japan,c. 1950,pottery drawing sketch,http://api.artsmia.org/objects/35201,20th century, Drawings
35202.json,2004.52.4,Artist: Minagawa Masu,(Flowers and Bamboo Fence),Japan,c. 1950,pottery drawing sketch,http://api.artsmia.org/objects/35202,20th century, Drawings
35205.json,2004.52.7,Artist: Minagawa Masu,(Flowers),Japan,c. 1950,pottery drawing sketch,http://api.artsmia.org/objects/35205,20th century, Drawings
37190.json,2015.79.163,Artist: Nagasawa Rosetsu,Mice on Rice-cake Flowers,Japan,late 1790s,"five mice nibbling on long, thin branch of white rice-cake flowers at L; pink flowering sprig across white flowers at L; lone mouse nibbling on end of branch at far R; ivory roller ends",http://api.artsmia.org/objects/37190,18th century, Paintings
37340.json,96.146.27,Artist: Unknown Japanese,Untitled [autumn flowers and grasses],Japan,late 19th century,Hill #J109,http://api.artsmia.org/objects/37340,19th century, Paintings
37351.json,96.146.111,Artist: Kawanabe Kyōsai,(Chicken and a Flower),Japan,1881,page of a book,http://api.artsmia.org/objects/37351,19th century, Books
37388.json,96.146.139.2,Artist: Nakajima Shunkō; Publisher: Aoki Tsunesaburō,May; Girl Viewing Wistaria Flowers,Japan,November 1895,woman standing with tree branch in hand,http://api.artsmia.org/objects/37388,19th century, Prints
37389.json,96.146.139.3,Artist: Nakajima Shunkō; Publisher: Aoki Tsunesaburō,September; Woman Arranging Flowers,Japan,November 1895,,http://api.artsmia.org/objects/37389,19th century, Prints
37485.json,96.146.178.12,Artist: Lodo,(Flowering Plum Branch),Japan,1890s,,http://api.artsmia.org/objects/37485,19th century, Prints
37490.json,96.146.178.22,Artist: Unknown Japanese,(Chinese Bellflower),Japan,c. 1890,,http://api.artsmia.org/objects/37490,19th century, Drawings
37515.json,96.146.295.1,Artist: Yoshimoto Gessō,(Two Birds on a Flowering Cherry Branch),Japan,c. 1930,tanzaku,http://api.artsmia.org/objects/37515,20th century, Prints
37635.json,96.146.18,Artist: Unknown Japanese,Flowers of the Season,Japan,19th century,Hill # R-20,http://api.artsmia.org/objects/37635,19th century, Paintings
40037.json,2015.79.81.1,Artist: Tawaraya Sōsetsu,Flowers of Autumn [left of a pair of Flowers of Summer and Autumn],Japan,first half 17th century,dense cluster of foliage with red flowers and a tiger lily at bottom; groupings of white flowers near center; arching foliage with a few light blue leaves and hanging white flowers above; ivory roller ends,http://api.artsmia.org/objects/40037,17th century, Paintings
40317.json,P.98.33.2.1,"Artist: Alphonse Mucha; Printer: F. Champenois, Paris",Carnation from 'The Flowers',Czechoslovakia,1897,,http://api.artsmia.org/objects/40317,19th century, Prints
40318.json,P.98.33.2.2,Artist: Alphonse Mucha,Lily from 'The Flowers',Czechoslovakia,1897,,http://api.artsmia.org/objects/40318,19th century, Prints
40319.json,P.98.33.2.3,Artist: Alphonse Mucha,Iris from 'The Flowers',Czechoslovakia,1897,,http://api.artsmia.org/objects/40319,19th century, Prints
40320.json,P.98.33.2.4,Artist: Alphonse Mucha,Rose from 'The Flowers',Czechoslovakia,1897,,http://api.artsmia.org/objects/40320,19th century, Prints
40480.json,"98.276.21a,b",Designer: René Jules Lalique; Manufacturer: Lalique,"""Basket of Flowers"" (""Panier de Fleurs"") illuminated plaque (luminaire)",France,c. 1933,"lamp, lighting device molded glass fitted into bronze mount; motif of a basket of daisies modelled in high relief in clear and frosted glass; base fitted for electricity",http://api.artsmia.org/objects/40480,Art Deco, Lighting
42226.json,P.73.17.6,Artist: Myer Abel,Fruit and Flowers,United States,1919-1948,,http://api.artsmia.org/objects/42226,20th century, Prints
42228.json,P.73.17.8,Artist: Myer Abel,Imaginary Flower Study,United States,1919-1948,,http://api.artsmia.org/objects/42228,20th century, Prints
42239.json,P.73.17.10,Artist: Myer Abel,Still Life with Flowers,United States,1919-1948,,http://api.artsmia.org/objects/42239,20th century, Prints
42270.json,P.77.27.173,Artist: Murakami Shōdō,(Flowering rose of sharon),Japan,c. 1818-1829,,http://api.artsmia.org/objects/42270,19th century, Prints
42274.json,P.77.27.177,Artist: Yamanaka Shōnen,(Autumn flowers),Japan,1810s,,http://api.artsmia.org/objects/42274,19th century, Prints
42279.json,P.77.27.181,Artist: Tanomura Shōsai,(Pine and a peony flower),Japan,1860,,http://api.artsmia.org/objects/42279,19th century, Prints
