objectid,accessionnum,title,displaydate,beginyear,endyear,visualbrowsertimespan,medium,attributioninverted,attribution,classification,visualbrowserclassification,wikidataid
31518,1945.5.739,"All a-growing, a-growing; here's flowers for your gardens",1799,1799,1799,1776 to 1800,,"Rowlandson, Thomas",Thomas Rowlandson,Print,print,Q65084843
31794,1945.5.1013,The Flower of the City,1809,1809,1809,1801 to 1825,,"Rowlandson, Thomas",Thomas Rowlandson,Print,print,Q65085739
34799,1948.11.155,Young Girl Leaning against a Flowered Screen (Jeune fille accoudée au paravent fleuri),1923,1923,1923,1901 to 1925,lithograph,"Matisse, Henri",Henri Matisse,Print,print,Q65073209
35064,1948.14.92,Flowers (Fleurs),probably 1927/1946,1927,1946,1926 to 1950,etching,"Dunoyer de Segonzac, André",André Dunoyer de Segonzac,Print,print,Q65069844
35436,1949.3.285,Kitty—Flower-Pot,1904,1904,1904,1901 to 1925,platinum print processed with mercury,"Stieglitz, Alfred",Alfred Stieglitz,Photograph,photograph,Q64034796
37402,1950.1.118.279,Woman Seen from Behind Gathering Flowers,1773,1773,1773,1751 to 1775,etching and aquatint,"Saint-Non, Jean-Claude-Richard, Abbé de","Jean-Claude-Richard, Abbé de Saint-Non",Print,print,Q65077984
39211,1950.16.276,Flowers (Fleurs),1944,1944,1944,1926 to 1950,etching,"Villon, Jacques",Jacques Villon,Print,print,Q65358958
39077,1950.16.142,"Sculptures Representing Marie-Thérèse and the Head of the Sculptor, with a Vase of Three Flowers (Sculptures représentant Marie-Thérèse et la tête du sculpteur, avec le vase aux trois fleurs)",1933,1933,1933,1926 to 1950,etching and aquatint [printed in 1939 by Roger Lacouriere],"Picasso, Pablo",Pablo Picasso,Print,print,Q65363507
39085,1950.16.150,At the Bath. Woman in a Hat with Flowers and Woman Draped in a Towel (Au bain),1934,1934,1934,1926 to 1950,etching [printed in 1939 by Roger Lacouriere],"Picasso, Pablo",Pablo Picasso,Print,print,Q65363552
39098,1950.16.163,Nude Placing Flowers in Her Hair (Femme nue se couronnant de fleurs),1930,1930,1930,1926 to 1950,etching in black on Montval laid paper [printed in 1939 by Roger Lacourière],"Picasso, Pablo",Pablo Picasso,Print,print,Q65363599
39099,1950.16.164,Nude with a Coronet of Flowers (Femme nue couronne de fleurs),1930,1930,1930,1926 to 1950,etching in black on Montval laid paper [printed in 1939 by Roger Lacouriere],"Picasso, Pablo",Pablo Picasso,Print,print,Q65363602
42019,1952.8.286,Flowers Behind the Door,,1897,1963,1876 to 1900,color monotype,"Reder, Bernard",Bernard Reder,Print,print,Q65221739
42467,1953.5.64,Little Girl with Flower Basket,c. 1830,1830,1830,1826 to 1850,oil on wood,American 19th Century,American 19th Century,Painting,painting,Q20185699
43352,1955.5.8,Bouquet of Flowers (Blumenstrauss),,1880,1999,1876 to 1900,color woodcut,"Boelter-Evers, Gertraud",Gertraud Boelter-Evers,Print,print,Q65226047
43368,1955.5.24,Vase of Flowers (Blumenvase),,1898,1992,1876 to 1900,hand-colored etching,"Hoffmann, Wolf",Wolf Hoffmann,Print,print,Q65369186
45910,1959.10.19,Flower Image,1956,1956,1956,1951 to 1975,cardboard cut,"Forsberg, Jim",Jim Forsberg,Print,print,Q65359959
46080,1960.14.1.a,Small Vase of Flowers (Petit vase de fleurs),published 1950,1950,1950,1926 to 1950,etching on laid paper,"Villon, Jacques",Jacques Villon,Print,print,Q65359041
48956,1964.8.1701,Yellow Flowers,1960,1960,1960,1951 to 1975,color lithograph,"Verdernikov, Alexander Semenovich",Alexander Semenovich Verdernikov,Print,print,Q65506636
46530,1963.10.55,The Flower Vendor,n.d.,1850,1924,1826 to 1850,oil on canvas,"Raffaëlli, Jean François",Jean François Raffaëlli,Painting,painting,Q20187962
46603,1963.10.128,Flowers in a Vase,1932,1932,1932,1926 to 1950,oil on canvas,"Derain, André",André Derain,Painting,painting,Q20192883
46703,1963.10.228,Vase of Flowers,1910 or before,1910,1910,1901 to 1925,oil on canvas,"Vlaminck, Maurice de",Maurice de Vlaminck,Painting,painting,Q20191507
49097,1964.8.1827,Woman Holding a Basket of Flowers,,1875,1932,1851 to 1875,etching,"Laprade, Pierre",Pierre Laprade,Print,print,Q65511633
46736,1963.11.3,Flowers,1955,1955,1955,1951 to 1975,"etching and (soft-ground etching?), printed over atone plate","Andlau, Helene d'",Helene d' Andlau,Print,print,Q65508759
46879,1963.11.152,Young Girl in Flowered Dress with Organdy Collar (Jeune fille en robe fleurie au col d'organdi),1923,1923,1923,1901 to 1925,lithograph,"Matisse, Henri",Henri Matisse,Print,print,Q65508786
47820,1964.8.617,Still Life and Flowers,1960,1960,1960,1951 to 1975,color lithograph,"Djagupova, Marie Markovna",Marie Markovna Djagupova,Print,print,Q65511166
47927,1964.8.721,Flowers in a Vase,1958,1958,1958,1951 to 1975,color lithograph,"Ermolaev, Boris Nicolaevich",Boris Nicolaevich Ermolaev,Print,print,Q65507907
48408,1964.8.1256,Young Girl in Flowered Dress with Organdy Collar (Jeune fille en robe fleurie au col d'organdi),1923,1923,1923,1901 to 1925,lithograph,"Matisse, Henri",Henri Matisse,Print,print,Q65508788
48458,1964.8.1306,Sunflowers,1963,1963,1963,1951 to 1975,hand-printed wood engraving,"Morena, Alberico",Alberico Morena,Print,print,Q65506487
48483,1964.8.1331,Ethereal Flowers,,1891,1992,1876 to 1900,color lithograph,"Nagase, Yoshiro",Yoshiro Nagase,Print,print,Q65512383
48539,1964.8.1386,Le petit pot de fleurs (Small Pot of Flowers),1947,1947,1947,1926 to 1950,lithograph,"Picasso, Pablo",Pablo Picasso,Print,print,Q65511463
48540,1964.8.1387,Fleurs dans un verre (Flowers in a Glass),1947,1947,1947,1926 to 1950,lithograph,"Picasso, Pablo",Pablo Picasso,Print,print,Q65511464
48679,1964.8.1525,Fleur et Racines (Flower and Roots),1959,1959,1959,1951 to 1975,etching and soft-ground,"Sansò, Juvenal",Juvenal Sansò,Print,print,Q65510587
48757,1964.8.1589,Flowers in Barn,1963/1964,1963,1964,1951 to 1975,lithograph in black and white on buff paper,"Takal, Peter",Peter Takal,Print,print,Q65511529
48954,1964.8.1699,Jug with Flowers,1960,1960,1960,1951 to 1975,color lithograph,"Verdernikov, Alexander Semenovich",Alexander Semenovich Verdernikov,Print,print,Q65506629
49038,1964.8.1770,Pitcher of Flowers,,1927,,1926 to 1950,color lithograph,"Bardone, Guy",Guy Bardone,Print,print,Q65508681
49095,1964.8.1825,Vase of Flowers on Two Books,,1875,1932,1851 to 1875,etching,"Laprade, Pierre",Pierre Laprade,Print,print,Q65511631
49091,1964.8.1821,Woman Gathering Flowers,,1875,1932,1851 to 1875,etching,"Laprade, Pierre",Pierre Laprade,Print,print,Q65511626
49103,1964.8.1833,Two Women with Flowers in Their Hands,,1875,1932,1851 to 1875,etching,"Laprade, Pierre",Pierre Laprade,Print,print,Q65511639
49104,1964.8.1834,Woman with Flowers in Her Hands,,1875,1932,1851 to 1875,etching,"Laprade, Pierre",Pierre Laprade,Print,print,Q65511640
49106,1964.8.1836,Vase of Flowers on Books with Two Figures Seen Through a Window,,1875,1932,1851 to 1875,etching,"Laprade, Pierre",Pierre Laprade,Print,print,Q65511642
49425,1964.8.2098,Woman in a Flowered Blouse,1962,1962,1962,1951 to 1975,lithograph (zinc) on Arches paper,"Brice, William",William Brice,Print,print,Q65512367
49520,1964.8.2192,Couple with Red Flower,1962,1962,1962,1951 to 1975,4-color lithograph (stone and zinc) on Barcham Green paper,"Horak, Bohuslav",Bohuslav Horak,Print,print,Q65507889
49521,1964.8.2193,Flowers,1961,1961,1961,1951 to 1975,6-color lithograph (stone and zinc) on Nacre,"Horak, Bohuslav",Bohuslav Horak,Print,print,Q65507890
49674,1964.8.2346,Flower,1962,1962,1962,1951 to 1975,lithograph (stone and zinc) in red and black on Nacre paper,"Mallary, Robert",Robert Mallary,Print,print,Q65511846
49871,1964.8.2540,Flowers,1960,1960,1960,1951 to 1975,lithograph on Nacre paper,"Schwartz, Aubrey",Aubrey Schwartz,Print,print,Q65507611
50248,1964.19.6,Still Life: Flowers,,1880,1999,1876 to 1900,oil on canvas,"Saint-Jean, Henri de",Henri de Saint-Jean,Painting,painting,Q20188869
50676,1966.8.1,Vase of Flowers,1963,1963,1963,1951 to 1975,etching,"Egnal, Stuart",Stuart Egnal,Print,print,Q65512141
52153,1970.17.9,Bouquet of Flowers,c. 1926,1926,1926,1926 to 1950,oil on canvas,"Bonnard, Pierre",Pierre Bonnard,Painting,painting,Q20192622
52252,1970.17.108,Flowers in a Vase,,1893,1963,1876 to 1900,oil on canvas,"Edzard, Dietz",Dietz Edzard,Painting,painting,Q20190365
52253,1970.17.109,Three Flowers in a Vase,,1893,1963,1876 to 1900,oil on canvas,"Edzard, Dietz",Dietz Edzard,Painting,painting,Q20190382
52318,1970.17.174,Vase of Flowers,,1884,1974,1876 to 1900,oil paint and pen and black ink,"Dunoyer de Segonzac, André",André Dunoyer de Segonzac,Drawing,drawing,Q64535743
52575,1971.41.13.b,Flower Studies [verso],,1870,1956,1851 to 1875,graphite on blue-lined paper,"Hoffmann, Josef",Josef Hoffmann,Drawing,drawing,Q64591062
52600,1971.41.38,Flower Patterns,,1870,1956,1851 to 1875,"graphite, yellow crayon, black ink, and  watercolor on blue-lined paper","Hoffmann, Josef",Josef Hoffmann,Drawing,drawing,Q64591087
53116,1972.7.1,There Were No Flowers Tonight,1929,1929,1929,1926 to 1950,oil on canvas,"Albright, Ivan",Ivan Albright,Painting,painting,Q20192798
54207,1974.28.2,Prickly Flower,1936,1936,1936,1926 to 1950,wood engraving,"Escher, M.C.",M.C. Escher,Print,print,Q65574185
54366,1974.41.1,Flowers,1973,1973,1973,1951 to 1975,color screenprint on wove paper,"Lichtenstein, Roy",Roy Lichtenstein,Print,print,Q65577013
54367,1974.42.1,Flowers,1973,1973,1973,1951 to 1975,color screenprint on wove paper,"Lichtenstein, Roy",Roy Lichtenstein,Print,print,Q65577016
54858,1974.99.77,Rainbow of Flowers,,1921,1992,1901 to 1925,color lithograph,"Gilot, Francoise",Francoise Gilot,Print,print,Q65568413
55175,1975.19.6,Seated Female Nude with Flowers,1920/1921,1920,1921,1901 to 1925,woodcut,"Escher, M.C.",M.C. Escher,Print,print,Q65574405
55594,1975.94.1,Vase of Flowers,,1880,1954,1876 to 1900,color woodcut,"Derain, André",André Derain,Print,print,Q65565243
55770,1976.17.1.a,The Cat and the Flowers (Le chat et les fleurs),1869,1869,1869,1851 to 1875,etching and aquatint,"Manet, Edouard",Edouard Manet,Print,print,Q65567828
55781,1976.26.1,Flowers in a Classical Vase,late 17th century,1650,1699,1601 to 1650,oil on canvas,French 17th Century,French 17th Century,Painting,painting,Q20177304
56014,1976.56.111,Water Flower,1964,1964,1964,1951 to 1975,pen and white and red ink? with gray wash,"Martin, Agnes",Agnes Martin,Drawing,drawing,Q64533466
57934,1980.45.282,Sunflower,,1940,1992,1926 to 1950,soft-ground etching in blue-black,"Cale, Robert Allan",Robert Allan Cale,Print,print,Q65576682
57954,1980.45.302,Donkey with Bouquet of Flowers,1968,1968,1968,1951 to 1975,etching and drypoint,"Chagall, Marc",Marc Chagall,Print,print,Q65574665
58217,1980.45.509,"Experiment #1, A Vase of Flowers",1977,1977,1977,1976 to 2000,gum bichromate,"Fine, Ruth",Ruth Fine,Print,print,Q65577083
58220,1980.45.512,Flowers and Grasses,1955,1955,1955,1951 to 1975,lithograph,"Fischer, Hans",Hans Fischer,Print,print,Q65569094
58282,1980.45.573,Crab and Flowers,1965,1965,1965,1951 to 1975,drypoint,"Flory, Arthur L.",Arthur L. Flory,Print,print,Q65565920
58801,1980.45.1088,Fish and Flower and Female Buddha,c. 1959,1959,1959,1951 to 1975,woodcut on Kozo paper,"Munakata, Shikō",Shikō Munakata,Print,print,Q65577391
58830,1980.45.1116,Self-Portrait with Flowers,1973,1973,1973,1951 to 1975,colored pencil and graphite on wove paper,"O'Brien, Edward",Edward O'Brien,Drawing,drawing,Q64557575
58872,1980.45.1158,Vase of Flowers,,1927,1992,1926 to 1950,monotype on Japanese Hosho paper,"Phillips, Matt",Matt Phillips,Print,print,Q65575265
58895,1980.45.1181,Fleurs Eclantantes (Brilliant Flowers),1964,1964,1964,1951 to 1975,color etching on Kaji sheet,"Reddy, Krishna N.",Krishna N. Reddy,Print,print,Q65573526
59208,1980.45.1466,Small Vase of Flowers (Petite vase de fleurs),1949,1949,1949,1926 to 1950,etching and drypoint,"Villon, Jacques",Jacques Villon,Print,print,Q74031825
59249,1980.45.1504-1511,Blumen und Tiere (Flowers and Animals),1951,1951,1951,1951 to 1975,portfolio with 8 hand-colored woodcuts,"Weisz, Joseph",Joseph Weisz,Print,portfolio,
59614,1980.45.1960.cc,Buddha's Flowers,published 1894,1894,1894,1876 to 1900,wood engraving on chine collé,"Del'Orme, George H. after Alfred William Parsons",George H. Del'Orme after Alfred William Parsons,Print,print,Q74033323
60587,1981.5.231,Flower Re-Run,1968,1968,1968,1951 to 1975,lithograph in purple on Rives BFK wove paper,"Rauschenberg, Robert",Robert Rauschenberg,Print,print,Q74036042
60987,1981.80.6.a,Sunflower [upper right],1921,1921,1921,1901 to 1925,woodcut//1 of 4 woodcuts printed on a single page,"Escher, M.C.",M.C. Escher,Print,print,Q74037874
60989,1981.80.6.c,Bell Flower [lower left],1921,1921,1921,1901 to 1925,woodcut//1 of 4 woodcuts printed on a single page,"Escher, M.C.",M.C. Escher,Print,print,Q74037904
61405,1983.1.55,Bird among Flowers,c. 1950/1952,1950,1952,1926 to 1950,bronze,"Léger, Fernand",Fernand Léger,Sculpture,sculpture,Q63860832
61633,1983.18.165,Flowers I (Title Page),1965,1965,1965,1951 to 1975,lithograph (stone) in red-brown on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040184
61634,1983.18.165-176,Flowers,1965,1965,1965,1951 to 1975,portfolio w/ 12 color lithographs (stone) including title page and colophon on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,portfolio,
61635,1983.18.166,Flowers II,1965,1965,1965,1951 to 1975,lithograph (stone) in black on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040206
61636,1983.18.167,Flowers III,1965,1965,1965,1951 to 1975,lithograph (stone) in black on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040209
61637,1983.18.168,Flowers IV,1965,1965,1965,1951 to 1975,lithograph (stone) in black on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040213
61638,1983.18.169,Flowers V,1965,1965,1965,1951 to 1975,"lithograph (stone) in red, green and violet on German Etching paper","Asawa, Ruth",Ruth Asawa,Print,print,Q74040215
61639,1983.18.170,Flowers VI,1965,1965,1965,1951 to 1975,"lithograph (stone) in red, green and violet on German Etching paper","Asawa, Ruth",Ruth Asawa,Print,print,Q74040219
61640,1983.18.171,Flowers VII,1965,1965,1965,1951 to 1975,"lithograph (stone) in red, green and violet on German Etching paper","Asawa, Ruth",Ruth Asawa,Print,print,Q74040222
61641,1983.18.172,Flowers VIII,1965,1965,1965,1951 to 1975,lithograph (stone) in brown-red on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040225
61642,1983.18.173,Flowers IX,1965,1965,1965,1951 to 1975,lithograph (stone) in brown-red on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040229
61643,1983.18.174,Flowers X,1965,1965,1965,1951 to 1975,"lithograph (stone) in brown-red, green and gray onGerman Etching paper","Asawa, Ruth",Ruth Asawa,Print,print,Q74040234
61644,1983.18.175,Flowers XI,1965,1965,1965,1951 to 1975,"lithograph (stone) in brown-red, green and gray onGerman Etching paper","Asawa, Ruth",Ruth Asawa,Print,print,Q74040260
61645,1983.18.176,Flowers XII (Colophon),1965,1965,1965,1951 to 1975,lithograph (stone) in red-brown on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040262
61647,1983.18.178,Desert Flower,1965,1965,1965,1951 to 1975,lithograph (stone) in black on Rives BFK Type IV paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040270
61648,1983.18.179,Desert Flower,1965,1965,1965,1951 to 1975,lithograph (stone) in black on German Etching paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040274
61649,1983.18.180,Desert Flower,1965,1965,1965,1951 to 1975,lithograph (stone) in black on Rives BFK Type V paper,"Asawa, Ruth",Ruth Asawa,Print,print,Q74040278
61831,1983.18.358,The Onion Flower,1969,1969,1969,1951 to 1975,"lithograph (aluminum and stone) in light brown, violet and black on German Etching paper","Bru, Salvador",Salvador Bru,Print,print,Q74041165
62682,1983.103.11.i,Cupid with Torch and Flower,published 1794,1794,1794,1776 to 1800,etching and engraving,"Holloway, Thomas",Thomas Holloway,Print,print,Q74044649
62690,1983.103.11.q,"(Botanical plate, flowers numbered I-XIII)",published 1794,1794,1794,1776 to 1800,engraving,"Nodder, Frederick P.",Frederick P. Nodder,Print,print,Q74044703
62691,1983.103.11.r,"(Botanical plate, flowers numbered XIV-XXIV)",published 1794,1794,1794,1776 to 1800,engraving,"Nodder, Frederick P.",Frederick P. Nodder,Print,print,Q74044706
62845,1983.109.100,Sunflowers,1918,1918,1918,1901 to 1925,linoleum cut on light tan wove paper,"Escher, M.C.",M.C. Escher,Print,print,Q74045580
62885,1983.110.2,Sunflowers,1918,1918,1918,1901 to 1925,linoleum cut,"Escher, M.C.",M.C. Escher,Print,print,Q74045747
63528,1984.34.249,Flower Girl,1969,1969,1969,1951 to 1975,lithograph (stone) in black on Rives BFK paper,"Masurovsky, Gregory",Gregory Masurovsky,Print,print,Q74047831
63529,1984.34.250,Flower Girl II,1969,1969,1969,1951 to 1975,lithograph (stone) in black on Rives BFK paper,"Masurovsky, Gregory",Gregory Masurovsky,Print,print,Q74047836
63532,1984.34.253,Wall Flowers,1969,1969,1969,1951 to 1975,lithograph (stone) in black on calendered Rives paper,"Masurovsky, Gregory",Gregory Masurovsky,Print,print,Q74047872
63886,1984.34.596,Plain Sky Flower,1969,1969,1969,1951 to 1975,lithograph (aluminum) in black on calendered Rivespaper,"Piene, Otto",Otto Piene,Print,print,Q74063025
65351,1984.64.64.4,"Seated Woman seen from Behind, Wearing a Flowered Hat",1899,1899,1899,1876 to 1900,graphite with pen and black ink and watercolor on wove paper,"Beckmann, Max",Max Beckmann,Drawing,drawing,Q64612927
66516,1985.64.115,Fruits with a Vase of Flowers on a Table,1961,1961,1961,1951 to 1975,"pen and brush with black ink, watercolor, and gouache","Dunoyer de Segonzac, André",André Dunoyer de Segonzac,Drawing,drawing,Q64535745
66825,1986.26.35,Durer with Red Flower,1984,1984,1984,1976 to 2000,silver dye bleach print,"Fichter, Robert",Robert Fichter,Photograph,photograph,Q64159518
66989,1986.26.198,"Chrysanthemums at Flower Market (Paris, 1972)",1975,1975,1975,1951 to 1975,gelatin silver print mounted on Harumi paper,"Friedlander, Lee",Lee Friedlander,Photograph,photograph,Q64156287
67449,1986.43.92,Untitled (woman arranging flowers),c. 1935,1935,1935,1926 to 1950,oil on canvas,"Rothko, Mark",Mark Rothko,Painting,painting,Q20193022
68813,1986.56.242,Vase of Flowers with Window View Behind,,1903,1970,1901 to 1925,pen and black ink on wove paper,"Rothko, Mark",Mark Rothko,Drawing,drawing,Q64596069
68851,1986.56.277,Vase of Flowers,,1903,1970,1901 to 1925,pen and black ink on wove paper,"Rothko, Mark",Mark Rothko,Drawing,drawing,Q64596118
69140,1986.56.537,Various Flowers,,1903,1970,1901 to 1925,(drawing),"Rothko, Mark",Mark Rothko,Drawing,drawing,Q64596439
69269,1986.56.649.a,Untitled (vase of flowers) [obverse],1937/1938,1937,1938,1926 to 1950,oil on hardboard,"Rothko, Mark",Mark Rothko,Painting,painting,Q20193149
69617,1986.99.13,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875839
69593,1986.94.1,Young Girl in Flowered Dress with Organdy Collar (Jeune fille en robe fleurie au col d'organdi),1923,1923,1923,1901 to 1925,lithograph on china paper,"Matisse, Henri",Henri Matisse,Print,print,Q74875711
69605,1986.99.1,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875781
69606,1986.99.2,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875784
69607,1986.99.3,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875787
69608,1986.99.4,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875790
69609,1986.99.5,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875796
69610,1986.99.6,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875811
69611,1986.99.7,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875817
69612,1986.99.8,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875821
69613,1986.99.9,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875825
69614,1986.99.10,Flowers,1974,1974,1974,1951 to 1975,screenprint in black on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875828
69615,1986.99.11,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875832
69616,1986.99.12,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875836
69618,1986.99.14,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875846
69619,1986.99.15,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875864
69620,1986.99.16,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875870
69621,1986.99.17,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875873
69622,1986.99.18,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875877
69623,1986.99.19,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875881
69624,1986.99.20,Flowers,1974,1974,1974,1951 to 1975,hand-colored screenprint on wove paper,"Warhol, Andy",Andy Warhol,Print,print,Q74875883
70002,1987.40.10,First Book: Daphnis and Chloe Picking Flowers(Daphnis et Chloe rammassant des fleurs),published 1937,1937,1937,1926 to 1950,woodcut on handmade paper,"Maillol, Aristide",Aristide Maillol,Print,print,Q74876123
70451,1988.50.10,Little Girl with Flower (Petite fille à la fleur),1929,1929,1929,1926 to 1950,"etching and roulette in green, brown, and red on chine collé","Foujita, Tsuguharu",Tsuguharu Foujita,Print,print,Q74878330
70872,1988.74.63,Two Vases of Cut Flowers and a Liriope Plant,1979 (published 1981),1979,1981,1976 to 2000,lithograph in black on Toyoshi 80 wove paper,"Hockney, David",David Hockney,Print,print,Q74881143
71341,1989.90.1,Flowers Fight,1987/1989,1987,1989,1976 to 2000,"basswood heliorelief, acrylic paint, gum plywood, and gold leaf","Chia, Sandro",Sandro Chia,Sculpture,sculpture,Q63861094
71345,1989.90.5,Flowers and Females,1986 (published 1987),1986,1987,1976 to 2000,cut color lithographs on Arches 88 wove paper mounted to color monoprint on T. H. Saunders wove paper,"Rosenquist, James",James Rosenquist,Print,print,Q74884527
71587,1990.73.1,"Sunflowers, Pink and White Dahlias, and a Blue Delphinium",c. 1930/1940,1930,1940,1926 to 1950,watercolor (applied recto and verso) on japan paper,"Nolde, Emil",Emil Nolde,Drawing,drawing,Q64559420
72106,1991.26.1.ff,Fleur Exotique (Exotic Flower),in or before 1869,1869,1869,1851 to 1875,etching and aquatint in black on laid paper (facing _Fleur Exotique_ by Armand Renaud),"Manet, Edouard",Edouard Manet,Print,print,Q74887811
72344,1991.74.9,Flowers at No. 2984212,1986,1986,1986,1976 to 2000,color screenprint with hand-painting on Arches Cover wove paper,"Borofsky, Jonathan",Jonathan Borofsky,Print,print,Q74888535
72678,1991.75.67,"Drawing for ""Flowers Fight""",1987,1987,1987,1976 to 2000,black felt-tip marker and graphite on plastic film,"Chia, Sandro",Sandro Chia,Drawing,drawing,Q64630501
72779,1991.75.168,"Template for ""Flowers and Females""",1986,1986,1986,1976 to 2000,acrylic and graphite on two sheets of adhered plastic film,"Rosenquist, James",James Rosenquist,Technical Material,technical material,Q64580696
72836,1991.76.8,Malaysian Flower Cave/ROCI MALAYSIA,1990,1990,1990,1976 to 2000,acrylic and fabric on galvanized steel,"Rauschenberg, Robert",Robert Rauschenberg,Painting,painting,Q20198005
72988,1991.114.3.l,Carrion Flower,1984,1984,1984,1976 to 2000,"drypoint, engraving, and electric tool work on Rives BFK paper (facing _Van Stapel's Vision_ by Robert Creeley)","Dine, Jim",Jim Dine,Print,print,Q74891464
