Title,Period,Country,Classification,Description
Stater: Three-Petal Flower (obverse); Horse and wheels (reverse),1st Century BCE - 1st Century CE,Null,Coins,"The Iceni were a native tribe inhabiting Norfolk, Suffolk, and parts of Cambridgeshire. They were described by the Romans as powerful, unbroken by war. In AD 61 the king of the Iceni, Prasutagus, died, leaving his apparently considerable wealth to his two daughters and to the Roman Emperor, as joint heirs. However, while the Roman legions under Aulus Plautius were in Wales taking drastic steps to exterminate Druidism, Boadicea, the widow of Prasutagus, was ill-treated by the Romans and her two daughters were outraged. The Iceni rose in revolt and helped by their neighbors the Trinovantes, they overran the Roman settlements. It is said that 70,000 Romans were massacred at Camulodunum, and the Iceni, with Boadicea in a war chariot at their head, sacked and burned Verulamium (St. Albans, Hertfordshire), and London. Suetonius, one of the leading Roman generals, returned from the west with all possible speed and came up with the Iceni in the northwest of Roman London. Here a great battle was fought, resulting in a complete victory for the disciplined Roman forces; thousands of Britons were killed. The site of this battle is supposed to have been near what is now Kings Cross, in central London, commemorated by Battle Bridge Road."
Vase with Bird and Flower Design,19th - 20th Century,Null,Ceramics,"This vase with broad shoulders and a tall neck represents a typical style of 19th-century blue-and-white porcelain. Unlike earlier examples decorated mainly with literati themes that evoke neo-Confucian moral values—plum blossoms (purity), orchids (grace), bamboo (integrity), and chrysanthemums (loftiness)—porcelain works of the 1800s feature fully bloomed peonies and a pair of playful birds, symbols of wealth and familial harmony."
Pair of Hexagonal Flower Pots,14th - 15th Century,Null,Ceramics,"This deep hexagonal flowerpot, one of a pair in the collection, is numbered ""8"" and bears additional inscriptions to indicate specifically the location of its usage within the palace: ""for use in the Study of Illumination (Mingchuang yong)"" within the ""Hall of Cultivating the Mind (Yangxin Dian)"" of the Forbidden City. The inscriptions seem to suggest the Qing imperial provenance of this pair."
Sandy and Her Husband,20th Century,United States,Painting,"In Sandy and Her Husband, the dancing couple at the center of the image is joined by Amos herself: the artist inserted herself into the picture by rendering an earlier self-portrait, Flower Sniffer (1966), which hangs on the wall behind the couple. However, even as Amos is part of the composition, she is peripheral to the scene, unseen or ignored by the dancers. From the early 1960s until her death in 2020, Amos made paintings, prints, and textiles celebrating African American identity and culture, and often exploring women’s presence within that heritage."
Eight-foiled Mirror with Flower and Phoenix Design,12th Century,Null,Metalwork,"From ancient times, a mirror assumed various roles; a ritualistic tool, a diplomatic gift, and a luxury commodity. During the Goryeo dynasty (918-1392), which saw the great advancement of metallurgy, the royal court was the center of distributing sophisticated bronze artifacts. According to historical records, on the 7th day of the Lunar New Year, the king bestowed a bronze mirror inscribed with auspicious symbols upon each court official as part of a ceremony to celebrate the Day of Humans. This explains why a large quantity of bronze mirrors were excavated from elite tombs."
Ink Flowers,14th Century,China,Painting,"Zhao Zhong's flowers, each paired with a poem, echo the fine-style colored flowers of the academic tradition, but instead he used only ink. Fine lines define the contours of each plant, as well as the veins within each petal and leaf. Careful ink washes give subtle modeling to the forms. The combination of lily, narcissus, and peony is unusual as the three belong to no known seasonal or symbolic system popular in the fourteenth century. Zhao’s medical training may have influenced the selection. Powdered lilies, for example, were prescribed to dispel grief, while the bark of tree peony roots was used as a treatment for various blood disorders."
Bowl with Flower Petals,14th Century,Null,Ceramics,"Yuan dynasty Shufu ware was a further development of the earlier qingbai ware and is characterized by a more heavily constructed body, opaque white glaze, molded decoration, and at times the inscription Shufu that gives the ware its name. Although lacking the inscription here, this bowl possesses the characteristics and decoration of Shufu pieces."
Flower Vase with Butterflies,19th - 20th Century,Japan,Ceramics,"Kyoto-based Japanese ceramist Seifū Yohei III (1851–1914) admired the glaze colors found on Chinese porcelain and tried to replicate them through intensive experimentation. His green and creamy white glazes were particularly well received. The combinations of colors with subtle molded and incised decorations in his ceramics respond powerfully to changes in light, creating a dynamic viewing experience. Names for the glazes, written in ink with a brush on the lids of the custom-made storage boxes for the works, often indicate a specific glaze or ware that had inspired him, even when the resulting color was distinctively his own."
Mirror with Six Circular Flowers,7th Century,Null,Metalwork,"Around the mirror’s central knob, there are six floral designs set within circles, separated by candelabra-like dividers. These flower designs later became known as ""baoxiang hua 寶相花"" or ""flowers of precious appearance"", which often remind people of Buddhist connections. The design also includes a ribbon of inscription, praising the mirror’s clarity and celebrating the end of a war."
Flower Vase with Dragon Roundels,20th Century,Japan,Ceramics,"Kyoto-based Japanese ceramist Seifū Yohei III (1851–1914) admired the glaze colors found on Chinese porcelain and tried to replicate them through intensive experimentation. His green and creamy white glazes were particularly well received. The combinations of colors with subtle molded and incised decorations in his ceramics respond powerfully to changes in light, creating a dynamic viewing experience. Names for the glazes, written in ink with a brush on the lids of the custom-made storage boxes for the works, often indicate a specific glaze or ware that had inspired him, even when the resulting color was distinctively his own."
Jar with Bird and Flower Decoration,18th Century,Null,Ceramics,"Joseon blue-and-white porcelains were called “靑畫,"" meaning “painted in blue.” The blue here indicates cobalt pigment. In the 1700s, the royal court banned the importation of cobalt blue for its luxurious nature; thus, relatively few Joseon blue-and-white porcelain vessels were produced at that time. In that context, this modest-looking jar was considered to be a rare luxury."
Flower Container,18th Century,France,Ceramics,
Mirror with Lotus and Mantra,13th - 14th Century,Null,Metalwork,"This mirror features intricate Buddhist designs. Around the central knob are four leaves, a ring of tiny beads, and then a circle made up of small lotus flower designs. Outside of that are eight big petal shapes, inside each is a Sanskrit letter. The mirror has the phrase ""In the name of Om mani padme hum"" written in a slightly incorrect form of Sanskrit, possibly because the Chinese mirror maker was not familiar with the language."
Flower Garden,20th Century,Japan,Print,"Watanabe is associated with the Japanese folk art movement
that admired traditional crafts, like stencil, for their
unpretentiousness. Here, Watanabe employed wrinkled
handmade paper, commonly used for book covers and
endpapers, to add texture to the broad areas of flat color and
to emphasize the rough, handcrafted quality of his prints.
The unsophisticated, folk-like images allude to early Japanese
Buddhist prints, in which black lines, rich color contrasts,
and simple naïve forms are paramount. Being a Christian,
Watanabe often chose religious themes from the Bible."
Winter and Summer Flowers,17th Century,Japan,Painting,"White camellias bloom behind a large pine in the right screen and blue morning glories creep through bamboo in the left screen of this composition. The mountains and bridge suggest a continuous landscape, but the paintings actually juxtapose flowers of winter and summer, with time progressing from right to left. Kaihō Yūshō painted similar landscapes for Zen temples in Kyoto."
Plate with Bird and Flower,17th Century,Null,Ceramics,
"Fish and Flower and Female Buddha (Sakana, Hana to Butsujo)",20th Century,Japan,Print,"Munakata did not make detailed designs for his prints, preferring instead to develop the composition on the block itself, aided by a rough sketch (see drawing for Fish and Flower and Female Buddha [1959.9]). He identified with the woodblock itself and said, ""If there is anything here [in my print] that is inferior to an uncarved block, then I have not created my print. I have lost to the board."" Fish and Flower and Female Buddha was commissioned by the Print Club of Cleveland as its 1959 presentation print."
Sword Guard (Tsuba) with Fence and Flower,17th - 19th Century,Null,Arms and Armor,"An inscription on one side of this sword guard states that the maker went by the first name of Masafusa, and worked in the historical province of Musashi. This area includes modern Tokyo."
The Blue Passion-flower,18th Century,England,Print,"In the 18th century, new engraving and etching techniques offered a variety of tonal effects that enhanced botanical prints. While mezzotint (in which the plate is roughened and then the engraver works from dark to light creating different values) and stipple (dots create values) make it possible to create the rich tonal scale and velvety texture of oil paint, aquatint imitates the delicacy and transparency of watercolor and ink wash."
Plate from Dessert Service: Nettle Leaved Bell Flower,19th Century,England,Ceramics,"Each dish is decorated with recognizable plants, the names of which are inscribed on the base in both Latin and English. Identifying the blossoms only became customary in the late 18th century when a single piece of porcelain was decorated with one species, and flowers were represented along with leaves, stems, seed pods, and roots. All of this reflects Carolus Linnaeus’s recent invention of a scientific method to categorize all known flora. The decorations on the Derby factory’s products derive from contemporary English botanical publications. For instance, illustrations in William Curtis’s The Botanical Magazine served as models for the French marigold and nettle-leaved bell flower on the dessert service."
Flower Vase with Bamboo Joints,20th Century,Japan,Ceramics,"Seifū Yohei III (1851–1914) was a son of the Maruyama school painter Okada Ryōhei (dates unknown). Though he studied painting, he ultimately succeeded his ceramics mentor, Seifū Yohei II (1845–1878), in Kyoto. He distinguished himself as a remarkable porcelain artist, taking Qing dynasty Chinese wares as his inspiration. He experimented widely with new glazing techniques. In 1893, he became the first ceramicist to be appointed as an Imperial Household Artist under a system introduced by the Japanese government in 1890. He produced many works for use in Chinese-style tea gatherings called sencha."
Self Portrait,19th Century,France,Painting,"François LePage belonged to a family of flower painters and worked in the French city of Lyon, which was famous for producing silk, particularly fabric with flower motifs. Flower painting was a specialty associated with the Lyon school of painting, and is a subject that requires both delicacy and dexterity, both of which are highlighted in this small self-portrait."
"Flower, Birds, and Profile Animal Mola Panel",20th Century,Null,Garment,"This whimsical, well-made panel was created by a female artist of the Guna, an Indigenous people of the Republic of Panamá. It was one of two identical or similar panels that were stitched into the front or back of a blouse (mola). Such blouses are so distinctive to the Guna that they are the single most recognizable element of Guna cultural identity."
Canopy with Dragon among Flowers,12th - 15th Century,Null,Textile,"The tapestry sewn into the center of this canopy depicts dragons among flowers, a classic design in Chinese art. Its weavers paid attention to fine details, such as the color gradation of the dragon’s scales, or subtle color changes in the flower petals and leaves. The selection of colored silk threads is soft in tone but rich in variety. All these stylistic characteristics indicate that this tapestry was woven in an imperial Southern Song workshop in the capital of Hangzhou, a center of textile production in the Jiangnan region."
Birds and Flowers,16th Century,Japan,Painting,"The landscape depicted in this pair of screens follows a seasonal progression from right to left, starting with the blossoming plum of early spring and ending with late autumn peonies. A variety of smaller birds are positioned throughout the scene, and a trio of swimming ducks is bracketed by early summer irises and early autumn bellflowers at the center. While some raptors (birds of prey) terrorize a pheasant and an egret (a waterfowl) to the right, a peacock and peahen converse to the left. Hawks are associated with military prowess, while the peafowl suggest cultural prestige."
Hollyhock-shaped Cup,15th Century,Null,Ceramics,"This very rare porcelain cup is called a hollyhock cup because its rim resembles a hollyhock blossom. This type of cup was produced only in the state-owned kiln for a limited time from the late 1400s to mid-1500s. Like sunflowers, hollyhocks also open their blooms toward the sun, signifying loyalty to the king. According to Korean royal archives, hollyhock cups were used during state banquets when the king offered wine to court officials. Also, a hollyhock-shaped cup was used in tea ceremonies to welcome visiting Chinese diplomats. In comparison to ceramic works of the late Joseon period that favor natural and rustic sensibilities seen in this gallery, this hollyhock cup illustrates the precision and perfection that were core aesthetic values of early Joseon period art."
Seated Male Carrying Maize,14th - 16th Century,Null,Sculpture,"This figure probably represents an Aztec deity-either Macuilxochitl or Xochipilli-whose domain was beauty, the arts, and such pleasures as gameplaying, dancing, and sex. Both names include the Aztec word for ""flower,"" and in one hand the figure holds a cone of flowers, perhaps the blossoming crown of a cactus. For the Aztecs, flowers signified beauty, refinement, and fertility in general and sexuality in particular. The burden of maize cobs on his back also may allude to his creative energies."
Pair of Figure in Flower Ornaments,6th - 10th Century,Null,Jewelry,"Figures within flowers are one of the most enchanting themes of the Maya ceramic art of Jaina, an island off the western Yucatán coast. The figures, usually males who cross their arms over their bodies, are either radiantly youthful or aged (as here), suggesting a relationship to the life cycle."
Seated Deity,14th - 16th Century,Null,Sculpture,"The crested headdress with tassels suggests that this youthful, seated male is Macuilxochitl (Five Flower), an Aztec supernatural patron of many forms of pleasure, among them music, dance, feasting, games, and sex. His cult was popular among common people, and this effigy probably was created for use in a small neighborhood temple. The stone surface could have been plastered and then brightly painted."
Flower Embroidery Design for Silk Manufactory of Lyon,18th Century,France,Drawing,"This drawing features a floral design intended for use by the silk manufactory in Lyon, a city with a long tradition in this industry. Jean Baptiste Pillement’s chalk drawings were translated not only into fabric, but also prints, which circulated and spread his style widely. Here, he used a small range of colors and repeated forms to create an appealing decorative motif."
Large Dish with Artichokes,16th Century,Null,Ceramics,"Ceramic vessels and tiles produced in Iznik, Turkey, for the Ottoman court in Istanbul represented the finest Islamic ceramics. Floral and vegetal motifs are a hallmark of Iznik pottery. The center of this dish is covered in a dynamic artichoke motif interwoven with rosettes and serrated saz leaves. The artichoke design was likely inspired by luxury Italian textiles imported into the Ottoman court. The dish represents a high point of Ottoman art during the reign of Sultan Suleyman the Magnificent (1520–66) in which European, Persian, Chinese, and Egyptian influences contributed to a distinct artistic language."
Flowering Crab Apple,16th Century,China,Painting,"Shen Zhou painted a broken branch (zhezhi 折枝) of crab apple, a fragment of nature rather than the full plant in its natural context. Shen uses calligraphic outlines in pure ink to depict the flower petals. The swift yet precise brushstrokes together with the slight S-shaped branch convey vitality. The inscription is a poem written by the artist, commenting on the lovely color and melancholic aura of the crab apple blossom. Shen Zhou is the founder of the Wu School, a group of scholars and officials active around Suzhou in eastern China, known for practicing painting and calligraphy in a refined and elegant style."
Woman Wearing a Flower,20th Century,United States,Painting,
The Botanical Magazine or Flower Garden Displayed:  Umbel-Flowering Bulb-Bearing Orange-Lily,19th Century,England,Print,"England was central to botanical concerns in the 18th century. For example, Kew Gardens was founded in 1721 and became a major institution for knowledge about plants from every continent. Interest in gardening led William Curtis to found the specialized magazine Botanical Magazine: or Flower Garden Displayed in 1787. Curtis aimed “to illustrate and describe the most ornamental flowering plants including information on their cultivation and illustrations drawn from living plants and colored as near to nature as the imperfection of color will admit.”"
Border Fragment of a Shawl,19th Century,Null,Textile,"Green, yellow, red, blue, and white woolen threads were woven to create the instantly recognizable Kashmiri teardrop flower patterns on this shawl border. Such a work was part of a larger textile, which would have entranced the viewer with its complexity and vibrancy, especially as it moved with the wearer and contrasted with other articles of clothing."
Fluted Cup with Dragon Handle,14th Century,Null,Ceramics,"Very thinly potted, the subtly lobed body of this cup is almost translucent. The thin, slightly opaque, light greenish glaze lends a sugary shine. Applied elements, including the handle, beaded borders, and sculptural floret, are constructed and glazed with the same materials as the body, providing a seamless blend of form and decorative embellishment. The result is an evocative reminder of slightly earlier silver cups, also created in the form of flowers. This pristine, natural construction is challenged, however, by the archaic dragon that acts as the handle. Borrowed from the decoration found on much earlier bronzes, this added form illustrates the eclecticism of the Yuan, the attempt to blend present vision with interest in the past."
London Types: Flower Girl,19th Century,England,Print,"London Types celebrates the affection residents felt for their city at the end of the 19th century. The series includes many depictions of women because the publisher William Heinemann, a strong supporter of the struggle for equality, advised the artist to represent both sexes equally. The scenes document London of the 1890s with contemporary references."
Persian Flowers,18th Century,France,Print,"Jean Baptiste Pillement was one of the most influential designers of the Rococo period, known for his varied and prolific chinoiseries (European variants of Chinese and Japanese motifs). His designs were spread throughout Europe primarily via their translation into prints. This print is one of a set of six etched by Pillement himself. Each depicts a so-called “Persian” flower, largely fantasies, presenting strange, alienlike floral forms that could be adapted to various uses from textiles to wall decorations."
"Flowers of Four Seasons, with Poems",16th Century,China,Painting,"In this painting, flowers are loosely arranged by the seasons: narcissus and peony represent early spring; yellow loquat and lotus, summer; chrysanthemum, autumn; and the plum and evergreen bamboo, winter. The artist added to each flower a poetic line of calligraphy associating each plant with a historic or legendary figure. For example, the chrysanthemum, along with the line “The untrammeled joy at the eastern fence,” refers to the poet Tao Yuanming (died AD 427) who enjoyed chrysanthemums at the eastern fence in his garden. The scroll illustrates Wang Guxiang’s mastery of free brushwork, combining light monochrome ink with transparent colors. In his inscription, Wang says he used the “boneless” style without outlines as developed during the Yuan dynasty (1279–1368). Wang was a native of Changzhou, a city in southeast China known for its rich flora and fauna, and flower-and-bird painting tradition."
Bowl with Lotus Petal Design in Relief,13th Century,Null,Ceramics,"As early as the seventh century, the practice of drinking tea and wine became an important part of elite leisure culture in Korea. A wide bowl like this example was especially suitable for drinking powdered tea shaved from a compressed tea cake, the most commonly enjoyed type during the Goryeo period. The outer wall of this tea bowl is decorated with the image of lotus flower, a symbol of purity."
Pair of Flower Pots (Pots de fleurs),18th Century,France,Ceramics,"The mark on this piece indicates that it was made after the Mennecy factory was moved to Bourg-la- Reine in 1773. The tradition of Mennecy's decoration on soft-paste porcelain can be recognized in the piece, but its style has been modified in response to the emerging neo-classic taste. The flowers are now organized into formal garland's and motifs of classical origin, such as the lion's heads, are introduced."
